Name,Description,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Combined
Tall Poppy,Filmed over 10 years this intimate portrait captures world champion skateboarder Poppy Olsen&apos;s coming of age and her preparation to become one of the first women to compete in the Olympics.,0,0,0,0,0,1,0,0,0,film years intimate portrait capture world champion skateboarder poppy olsen come age preparation become first women compete olympics overalls skateboard
The Unforgiven,"Stuck in purgatory, a cynical angel is assigned to save the soul of a low level criminal. But when the devil turns up, he is forced to confront his own skepticism.",0,0,1,0,0,0,0,0,0,stick purgatory cynical angel assign save soul low level criminal devil turn force confront skepticism nan
The Banshees of Inisherin,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",1,0,1,0,0,0,0,0,0,lifelong friends find impasse abruptly end relationship alarm consequences brother sister relationship loneliness cut finger fiddler year
The 9th Circle,A woman is abducted by a sinister stranger on Halloween night for a fate worse than death.,0,0,0,0,0,0,0,0,1,woman abduct sinister stranger halloween night fate worse death evil clown halloween wait room train station nightmare
Ooe-yama Shuten-dôji,"A team of samurai warriors team up to defeat a shape-changing, supernatural creature.",0,0,0,0,0,0,0,1,1,team samurai warriors team defeat shape change supernatural creature kaiju glow sword giant spider abduction demon
The River Wild,Rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.,0,1,0,0,1,0,0,0,1,raft expert gail take pair arm killers navigate spectacularly violent river vacation go wrong raft criminal estrange husband gang
Seishun zankoku monogatari,A harsh young man seduces a freeloading young woman and eventually takes advantage of her knack for hitch-hiking to rob middle-class men.,0,1,1,0,0,0,0,0,0,harsh young man seduce freeload young woman eventually take advantage knack hitch hike rob middle class men yakuza lovemaking make love teen movie society
The Story of Ruth,"Inspired by the scriptural tale. Moabitess priestess Ruth is drawn both to a Judean man and to his talk of a forgiving God. After tragedy strikes, she begins a new life in Bethlehem.",0,0,1,1,0,1,0,0,0,inspire scriptural tale moabitess priestess ruth draw judean man talk forgive god tragedy strike begin new life bethlehem prologue priestess hebrew israel mother law daughter law relationship
The Party Is Over,"In this alternative college comedy, three slacker roommates must face the consequences of each of their bizarre, obsessive relationships with three equally complicated young women.",1,0,0,0,0,0,0,0,0,alternative college comedy slacker roommates must face consequences bizarre obsessive relationships equally complicate young women nan
Strangers When We Meet,"A suburban architect loves his wife but is bored with his marriage and with his work, so he takes up with the neglected, married beauty who lives down the street.",0,0,1,1,0,0,0,0,0,suburban architect love wife bore marriage work take neglect marry beauty live street architect loveless marriage house construction mother son relationship housewife
The Brides of Dracula,"Vampire hunter Van Helsing returns to Transylvania to destroy handsome bloodsucker Baron Meinster, who has designs on beautiful young schoolteacher Marianne.",0,0,0,0,0,0,0,0,1,vampire hunter van helsing return transylvania destroy handsome bloodsucker baron meinster design beautiful young schoolteacher marianne sequel cross coffin cautery windmill
Elmer Gantry,"A fast-talking traveling salesman with a charming, loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.",0,0,1,0,0,0,0,0,0,fast talk travel salesman charm loquacious manner convince sincere evangelist effective preacher cause preacher religion tent revival evangelist travel salesman
The Rat Race,"An aspiring musician arrives in New York in search of fame and fortune. He soon meets a taxi dancer, moves in with her, and before too long a romance develops.",1,0,1,1,0,0,0,0,0,aspire musician arrive new york search fame fortune soon meet taxi dancer move long romance develop roommate dancehall girl base play animal title theft
The Bellboy and the Playgirls,This Bellboy is after more than just big tips.,1,0,0,0,0,0,0,0,0,bellboy big tip softcore psychotronic film bellboy sex comedy female topless nudity
The Entertainer,"One night and one day in the life of Joe, a musician in his mid 30s who is artistically and personally stagnating, feeling like everyone&apos;s overtaking him. After a failed gig he gets drunk and loses his keys. Being too broke for a ...",0,0,1,0,0,0,0,0,0,night day life joe musician mid artistically personally stagnate feel like everyone overtake fail gig get drink lose key break nan
Last Woman on Earth,"Ev, her husband Harold, and their friend Martin go scuba diving while on vacation in Puerto Rico. When they surface, they find that everyone on the island has died.",0,0,1,0,0,0,0,0,1,ev husband harold friend martin go scuba dive vacation puerto rico surface find everyone island die fish puerto rico last woman earth spear gun scuba dive
Black Sunday,Black Sunday is an art house dark-fantasy short film about a girl who uses a tarot deck to mirror and to guide an intense soul connection.,0,0,0,0,0,0,0,1,1,black sunday art house dark fantasy short film girl use tarot deck mirror guide intense soul connection nan
The Exotic Time Machine,"A time machine transports two curious pleasure seekers to the deepest reaches of the erotic past, where they enjoy historical adventures beyond imagination.",0,0,0,0,0,0,0,1,0,time machine transport curious pleasure seekers deepest reach erotic past enjoy historical adventure beyond imagination time travel softcore male nudity male frontal nudity female full frontal nudity
The Little Sex Shop of Horrors,"A dark and stormy, Halloween night in the Babes in Sex Toyland adult gift shop does not go well for Jason, the young store clerk. After a visit by a mysterious customer, Jason faces a fight for his life against creatures of the ni...",0,0,0,0,0,0,0,0,1,dark stormy halloween night babes sex toyland adult gift shop go well jason young store clerk visit mysterious customer jason face fight life creatures ni nan
Warui yatsu hodo yoku nemuru,A vengeful young man marries the daughter of a corrupt industrialist in order to seek justice for his father&apos;s suicide.,0,1,1,0,0,0,0,0,1,vengeful young man marry daughter corrupt industrialist order seek justice father suicide suicide scandal guilt car crash husband wife relationship
Surprise Package,"An American gangster is exiled from the United States for criminal activity and is sent back to the Greek island where he was born. Once on the island, he is watched by a corrupt local police chief. Upon meeting an exiled king, he...",1,0,0,0,0,0,0,0,0,american gangster exile unite state criminal activity send back greek island bear island watch corrupt local police chief upon meet exile king nan
Pote tin Kyriaki,An American scholar in Greece sets about improving the prostitute with whom he is infatuated.,1,0,1,1,0,0,0,0,0,american scholar greece set improve prostitute infatuate prostitute word title day title ancient greek mythology bikini
Nihon no yoru to kiri,Long takes and a highly theatrical visual approach combine to form a tense and confrontational look at the decline of a socialist student activists&apos; movement in Japan.,0,0,1,0,0,0,0,0,0,long take highly theatrical visual approach combine form tense confrontational look decline socialist student activists movement japan japanese new wave student long take reference dmitri shostakovich sex scene
The Magnificent Seven,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,0,0,0,0,1,0,0,0,0,gunmen variety background bring together vengeful young widow protect town private army destructive industrialist showdown bounty hunter good versus evil die hard scenario remake
The Millionairess,A millionairess and a doctor cannot marry until they meet conditions set up by their respective parents.,1,0,1,1,0,0,0,0,0,millionairess doctor cannot marry meet condition set respective parent river thames london england love italian indian
Everybody Goes to the Hospital,"&apos;Everybody Goes to the Hospital&apos; is an animated exploration of a true physical, psychological, and familial trauma.",0,0,0,0,0,0,1,0,0,everybody go hospital animate exploration true physical psychological familial trauma nan
El Cochecito,The Marquis of Pocamonta challenges the Torombolos to an automobile race,0,0,0,0,0,0,0,0,0,marquis pocamonta challenge torombolos automobile race nan
The Housemaid,"Daisy&apos;s task as a new maid to a wealthy family is to watch over a young kid, but unknowingly she&apos;s being watched by the kid&apos;s father. When temptation kicks in Daisy and the wealthy family&apos;s lives start to shatter in pieces.",0,0,0,0,0,0,0,0,1,daisy task new maid wealthy family watch young kid unknowingly watch kid father temptation kick daisy wealthy family live start shatter piece rich family maid nanny pregnant wife cheat wife
Man-choo,"An adulterous wife, in prison for killing her husband, learns her mother has passed away in Seattle. Officials grant her a 3-day furlough to attend her funeral, when on the bus she meets a man who doesn&apos;t have enough money to for ...",0,0,1,1,0,0,0,0,0,adulterous wife prison kill husband learn mother pass away seattle officials grant day furlough attend funeral bus meet man enough money nan
The Facts of Life,Sophisticated comedy with Larry and Kitty leaving their spouses for an interlude together.,1,0,1,1,0,0,0,0,0,sophisticate comedy larry kitty leave spouses interlude together marriage vacation fish husband wife relationship young men christian association
Cinderfella,"Filmed over two nights at KKSC Theatre in front of a packed house, Cinderfella has to find her father but is frustrated at every turn by the evil genie.",1,0,0,0,0,0,0,0,0,film nights kksc theatre front pack house cinderfella find father frustrate every turn evil genie kksc theatre zimbabwe theatre zimbabwe comedy theater
Where the Boys Are,A few girls in an apartment. Across the street men are building a mosque.,0,0,1,0,0,0,0,0,0,girls apartment street men build mosque bare chested male slow dance dance gay crush party
The Last Witness,An ambitious young journalist uncovers the horrific slaughter of twenty-two thousand Polish officers during World War II. A secret that has been kept hidden for far too many years.,0,0,0,0,0,1,0,0,1,ambitious young journalist uncover horrific slaughter twenty thousand polish officer world war ii secret keep hide far many years voice narration western post newspaper polish hostel somerset england soviet invasion poland kiss
Ali Baba bujang lapok,"Based on the 1001 Arabian nights tale of Ali Baba & The Forty Thieves, this movie tells of the adventures of Ali Baba with generous twists of Malay humour and general hilarity.",1,0,0,0,0,0,0,1,0,base arabian nights tale ali baba forty thieve movie tell adventure ali baba generous twist malay humour general hilarity character name title
Anuradha,"A lonely housewife, who gave up her promising singing career to marry an idealistic village-doctor, begins to regret her decision.",0,0,1,1,0,0,0,0,0,lonely housewife give promise sing career marry idealistic village doctor begin regret decision love father daughter relationship singer doctor flashback
Beat Girl,An impetuous teenage girl becomes involved with Soho&apos;s beatnik and striptease scenes to spite her staid architect father and her French ex-stripper stepmother.,0,0,1,0,0,0,0,0,0,impetuous teenage girl become involve soho beatnik striptease scenes spite staid architect father french ex stripper stepmother teensploitation psychotronic film stripper jazz beatnik
Kirik Çanaklar,"The film tells the story of a family pushed to the brink as the result of slander. Sabahat spends every day doing housework and looking after her naughty child and cantankerous mother-in-law. When he comes home tired from work, Ce...",0,0,1,0,0,0,1,0,0,film tell story family push brink result slander sabahat spend every day housework look naughty child cantankerous mother law come home tire work ce worker slander old age naughty child driver
Carry on Constable,"With a flu epidemic running rife, three new bumbling recruits are assigned to Inspector Mills police station. With help from Special Constable Gorse, they manage to totally wreck the operations of the police force and let plenty o...",1,0,0,0,0,0,0,0,0,flu epidemic run rife new bumble recruit assign inspector mill police station help special constable gorse manage totally wreck operations police force let plenty police carry woman bathtub man dress woman woman wrap towel
Meghe Dhaka Tara,A selfless young woman (Supriya Choudhury) sacrifices her own happiness for her unappreciative family.,0,0,1,0,0,0,0,0,0,selfless young woman supriya choudhury sacrifice happiness unappreciative family female protagonist sacrifice mother daughter relationship dysfunctional family accident
Desire in the Dust,"Lonnie Wilson, the son of a toothless sharecropper, Zuba Wilson, returns to small southern hometown after spending six years on the chain-gang for killing Colonel Ben Marquand&apos;s son in an automobile accident. He revives his love a...",0,1,1,0,0,0,0,0,1,lonnie wilson son toothless sharecropper zuba wilson return small southern hometown spend years chain gang kill colonel ben marquand son automobile accident revive love colonel sharecropper infidelity southern gothic base novel
Girl of the Night,"Girl of the Night is about Bobbie (Anne Francis), a sensitive, lonely call girl who is manipulated and ultimately used by her madame, played by Kay Medford.",0,0,1,0,0,0,0,0,0,girl night bobbie anne francis sensitive lonely call girl manipulate ultimately use madame play kay medford prostitution child sexual abuse independent film base book
Goliath II,"Goliath II is a 6-inch-tall elephant (son of the huge Goliath). He&apos;s a big disappointment to his father, but mom is proud of Goliath II anyway. Goliath II is constantly getting into trouble because he&apos;s so small. In particular, th...",1,0,0,0,0,0,1,0,0,goliath ii inch tall elephant son huge goliath big disappointment father mom proud goliath ii anyway goliath ii constantly get trouble small particular th goliath elephant character courage tick tock crocodile character roman numeral title voice narration
Guns of the Timberland,Feud between ranchers and lumberjacks over the issue of environment protection versus profits.,0,0,0,0,1,0,0,0,0,feud ranchers lumberjacks issue environment protection versus profit rancher lumberjack feud land right base novel
Wernher von Braun,"The story of rocket scientist Dr. Werner von Braun&apos;s career, from the 1920s until the late 1950s.",0,0,1,0,0,1,0,0,0,story rocket scientist dr werner von braun career late timeframe timeframe rocket scientist satellite
Ice Palace,"A short film capturing the exquisite, elegant and innovative designs of Food Stylist and event planner Rakhee Jain at an event in Udaipur, India, 2017",0,0,0,0,0,0,0,0,0,short film capture exquisite elegant innovative design food stylist event planner rakhee jain event udaipur india nan
Jaali Note,Inspector Dinesh goes undercover in order to infiltrate a gang that is counterfeiting banknotes. In the course of his investigation he becomes romantically entangled with a female reporter and makes a discovery of shocking persona...,0,1,1,0,1,0,0,0,0,inspector dinesh go undercover order infiltrate gang counterfeit banknotes course investigation become romantically entangle female reporter make discovery shock persona undercover female reporter disguise hotel murder
From a Place of Love: My Adoption Journey,"With the age of 60 on the horizon filmmaker David Bynum set out on a journey of discovery to find his biological family. After 58 years of not knowing where his true roots were or any family history, the need to search became over...",0,0,0,0,0,1,0,0,0,age horizon filmmaker david bynum set journey discovery find biological family years know true root family history need search become adoption search reunion dna
Love in Simla,"After the untimely death of her father and step-mother, Sonia is orphaned and lives with her aunt and paternal uncle (Mrs. and General Rajpal Singh). Sonia is plain-looking as her real mother, and often invites unappreciative, tau...",1,0,1,0,0,0,1,0,0,untimely death father step mother sonia orphan live aunt paternal uncle mrs general rajpal singh sonia plain look real mother often invite unappreciative tau city name title
Macumba Love,A writer who specializes in exposing fake witchcraft journeys to Brazil to investigate a voodoo cult.,0,0,0,0,1,0,0,1,0,writer specialize expose fake witchcraft journey brazil investigate voodoo cult mysticism psychotronic film voodoo writer island
"Makkers, staakt uw wild geraas","The story of three torn apart families on the verge of Sinterklaasavond, the Dutch equivalent of Christmas Eve.",1,0,1,0,0,0,0,0,0,story tear apart families verge sinterklaasavond dutch equivalent christmas eve nan
"The Mountain, the River and the Road","Jeff is a failing post-college writer whose parents are finally kicking him out of the house. With this in mind, Jeff starts out on a road trip to Austin, TX with his friend, Tom; a final grasp at youthful freedom. All is well unt...",0,0,1,0,0,0,0,0,0,jeff fail post college writer whose parent finally kick house mind jeff start road trip austin tx friend tom final grasp youthful freedom well unt nan
Eroika,"The lives of two male Greek teens and the young daughter of the British Ambassador in Greece are turned upside down when the best friend of a teenage gang leader dies. Meanwhile, a love triangle is developed between the three char...",0,0,1,0,0,0,0,0,0,live male greek teens young daughter british ambassador greece turn upside best friend teenage gang leader die meanwhile love triangle develop char base novel independent film
The Pure Hell of St. Trinian&apos;s,The hellions of St. Trinians are recruited to a sheik&apos;s harem. Little does he know what he&apos;s letting himself in for.,1,0,0,0,0,0,0,0,0,hellions st trinians recruit sheik harem little know let cleavage sexy girl stock woman undress striptease
"Beautiful George: Romeo, Juliet and the Darkness","All havoc breaks loose on a film set, when &apos;The director&apos; demands Gestapo perfection from his actors and crew, while hallucinating on his drugged coffee.",1,0,1,0,0,0,0,0,0,havoc break loose film set director demand gestapo perfection actors crew hallucinate drug coffee gestapo cast film crew movie director reference shakespeare romeo juliet
School for Scoundrels,"A young guy short on luck enrolls in a class to build confidence to help win over the girl of his dreams, which becomes complicated when it turns out his teacher has the same agenda.",1,0,0,0,0,0,0,0,0,young guy short luck enroll class build confidence help win girl dream become complicate turn teacher agenda low self esteem mace spray new york city australian assertion
Six Days Seven Nights,"Robin Monroe, a New York magazine editor, and the gruff pilot Quinn Harris must put aside their mutual dislike if they are to survive after crash landing on a deserted South Seas island.",1,0,0,0,1,0,0,0,0,robin monroe new york magazine editor gruff pilot quinn harris must put aside mutual dislike survive crash land desert south seas island pilot thunderstorm floatplane snow adventure island
The Subterraneans,A love story between two misunderstood new bohemians who don&apos;t even understand themselves.,0,0,1,0,0,0,0,0,0,love story misunderstand new bohemians even understand base novel psychotronic film san francisco california poet beatnik
The Thousand and One Lives of Doctor Mabuse,"One more tale in the Doctor Mabuse trilogy. Inspector Carl Lohemann killed Dr. Mabuse, heroically putting an end to the criminal mastermind&apos;s reign. But the nightmare has only just begun.",0,0,0,0,0,0,0,0,1,tale doctor mabuse trilogy inspector carl lohemann kill dr mabuse heroically put end criminal mastermind reign nightmare begin nan
Vice Raid,The bosses of the prostitution racket have one of their prostitutes go to New York City to entrap a police officer and get him thrown off the force. She does as she is told but then the gangsters make a mistake.,0,1,1,0,0,0,0,0,0,boss prostitution racket prostitute go new york city entrap police officer get throw force tell gangsters make mistake police officer prostitution crime syndicate corruption model agency
Watch Your Stern,"When the details of a secret torpedo are destroyed by an incompetent seaman, the crew of the ship rally round, when the Admiral needs the plans to show to a visiting scientist.",1,0,0,0,0,0,0,0,0,detail secret torpedo destroy incompetent seaman crew ship rally round admiral need plan show visit scientist military spoof torpedo admiral british navy royal navy
Ta kitrina gantia,"When it comes to his wife, Orestis is suspicious of everything, be it a moustachioed chauffeur or a lost pair of bumblebee-yellow gloves. But, are his fears justified or is this case of the lost fashion accessories a big misunders...",1,0,0,0,0,0,0,0,0,come wife orestis suspicious everything moustachioed chauffeur lose pair bumblebee yellow gloves fear justify case lose fashion accessories big misunders greece greek fashionable woman fashion adultery
The Aristo-Cat,"Meadows the butler, fed up with the family cat&apos;s practical jokes, walks off the job, leaving the formerly-pampered feline alone and totally helpless, unaware even of what a mouse looks like. Thus, he&apos;s terrified when the cheese-hu...",0,0,0,0,0,0,1,0,0,meadows butler feed family cat practical joke walk job leave formerly pamper feline alone totally helpless unaware even mouse look like thus terrify cheese hu hubie bertie character cartoon mouse cartoon dog anthropomorphic animal butler
The Mortal Storm,"The Roth family leads a quiet life in a small village in the German Alps during the early 1930s. When the Nazis come to power, the family is divided and Martin Breitner, a family friend, is caught up in the turmoil.",0,0,1,0,0,0,0,0,0,roth family lead quiet life small village german alps early nazis come power family divide martin breitner family friend catch turmoil gestapo alps hitler youth bavaria
Körkarlen,"On New Year&apos;s Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.",0,0,1,0,0,0,0,1,1,new year eve driver ghostly carriage force drunken man reflect selfish waste life ghost story ghost flashback flashback tuberculosis suicide attempt
Smultronstället,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",0,0,1,1,0,0,0,0,0,live life mark coldness age professor force confront emptiness existence professor road movie nostalgia dream swedish summer
Stagecoach: The Texas Jack Story,A former stagecoach robber is hunted by a vengeful US Marshal.,0,0,0,0,1,0,0,0,0,former stagecoach robber hunt vengeful us marshal robber
Caged,Stella&apos;s hedonistic lifestyle finds her in a basement cell where she meets a woman and reflects on the reason of their captivity.,0,0,1,0,0,0,0,0,1,stella hedonistic lifestyle find basement cell meet woman reflect reason captivity erect penis unsimulated fellatio unsimulated oral sex sex cuckold husband
Adam&apos;s Rib,"Michael Ramsay only has time for gathering his fortune in wheat. His wife seeks comfort elsewhere and, to avoid a scandal, her daughter Mathilda assumes her mother&apos;s guilt. Ramsay nearly goes broke but gets rich again; his wife re...",0,0,1,0,0,0,0,0,0,michael ramsay time gather fortune wheat wife seek comfort elsewhere avoid scandal daughter mathilda assume mother guilt ramsay nearly go break get rich wife melodrama society
The Rogue Song,"In tsarist Russia, a princess falls for a dashing bandit leader, but their romance proves a stormy one.",0,0,0,1,0,0,0,0,0,tsarist russia princess fall dash bandit leader romance prove stormy year russian empire rogue bandit leader bandit
Under Your Spell,"A famous singer, bored with music and fans, goes to live in Mexico. His manager sends a woman to bring him back. They fall in love.",1,0,0,1,0,0,0,0,0,famous singer bore music fan go live mexico manager send woman bring back fall love singer manager concert party cowboy
"The Good, the Bad and the Beautiful",The story centers around the estate of a politician plagued by blackmail and scissor-murders.,0,0,1,0,0,0,0,0,0,story center around estate politician plague blackmail scissor murder kill scissor graphic violence sexual pleasure female nudity independent film
Love Nest on Wheels,"Buster, the eldest son in a family of hillbillies who manage a hotel, attempts to raise money to save the hotel from foreclosure.",1,0,0,0,0,0,0,0,0,buster eldest son family hillbillies manage hotel attempt raise money save hotel foreclosure nan
Mutiny on the Bounty,"First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1789 mutiny.",0,0,1,0,1,1,0,0,0,first mate fletcher christian lead revolt sadistic commander captain bligh classic seafaring adventure base real life mutiny afi revenge blockbuster reference captain cook reference sir francis drake
Cavalcade,"An accomplished playboy Leo neglects his girlfriend and enjoys parties. His girlfriend parts from him and then, when he wants to see her once more, he has an accident. He survives, but his whole life is now to be changed. This fil...",0,0,1,0,0,1,0,0,0,accomplish playboy leo neglect girlfriend enjoy party girlfriend part want see accident survive whole life change fil quadriplegic wheelchair disable person physical disability physical therapy
Top Banana,A filmed version of Phil Silvers&apos; hit Broadway show about a television comic who tried to regain his ratings on TV.,1,0,0,1,0,0,0,0,0,film version phil silver hit broadway show television comic try regain rat tv visual impairment dimensional actor recreate stage role actress recreate stage role
To Be or Not to Be,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy.",1,0,0,1,1,0,0,0,0,nazi occupation poland act troupe become embroil polish soldier efforts track german spy screwball comedy reference william shakespeare beard world war reference adolf hitler
My Official Wife,"Helene Marie, on the run from the Russian police in St. Petersburg, plots to kill the Czar.",0,0,1,0,0,0,0,0,0,helene marie run russian police st petersburg plot kill czar lose film historical event base play
The Fall of a Nation,Three acts and a prologue. Act 1: A nation falls. Act 2: The heel of the conqueror. Act 3: The uprising two years later.,0,0,1,0,0,0,0,0,0,act prologue act nation fall act heel conqueror act uprise years later sequel melodrama propaganda base novel
Tillie&apos;s Punctured Romance,A con man from the city dupes a wealthy country girl into marriage.,1,0,0,0,0,0,0,0,0,con man city dupe wealthy country girl marriage slapstick comedy car water morality play pier mountain climb
Tango Tangle,"Out of costume, Charlie is a clean-shaven dandy who, somewhat drunk, visits a dance hall. There the wardrobe girl has three rival admirers: the band leader, one of the musicians, and now Charlie.",1,0,0,0,0,0,0,0,0,costume charlie clean shave dandy somewhat drink visit dance hall wardrobe girl rival admirers band leader musicians charlie slapstick comedy pillow fight dance party
The Searchers,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother&apos;s family is massacred in a raid on their Texas farm.,0,0,1,0,1,0,0,0,0,american civil war veteran embark years long journey rescue niece comanches rest brother family massacre raid texas farm revenge tough guy navajo indian ambush violence
Rio Bravo,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",0,0,1,0,1,0,0,0,0,small town sheriff american west enlist help disable man drink young gunfighter efforts hold jail brother local bad guy gunfighter deputy sheriff gambler prisoner exchange
Slightly Scandalous,"There are two twin brothers (actually triplets in the final scene), one of whom has three girls on a romantic string and is trying to sell a television show to a fountain pen manufacturer. The other doesn&apos;t have one girl and quiet...",1,0,0,1,0,0,0,0,0,twin brothers actually triplets final scene girls romantic string try sell television show fountain pen manufacturer girl quiet vaudeville team fountain pen manufacturer investment tv show
"Henry, the Rainmaker",Small town family man Henry Latham decides to run for mayor on the issue of trash disposal. Incumbent Mayor Colton solved the problem so Henry develops a rain making device with disastrous results.,1,0,0,0,0,0,0,0,0,small town family man henry latham decide run mayor issue trash disposal incumbent mayor colton solve problem henry develop rain make device disastrous result nan
