Name,Date Published,Description,Rating,Rating Count,Content Rating,Keywords,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Description Tokenized
Life Is Beautiful,,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",,,,[' '],1,0,1,1,0,0,0,0,0,"['When', 'an', 'open', 'minded', 'Jewish', 'waiter', 'and', 'his', 'son', 'become', 'victims', 'of', 'the', 'Holocaust', 'he', 'uses', 'a', 'perfect', 'mixture', 'of', 'will', 'humor', 'and', 'imagination', 'to', 'protect', 'his', 'son', 'from', 'the', 'dangers', 'around', 'their', 'camp', ' ']"
Yes Day,,A mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure.,,,,[' '],1,0,0,0,0,0,1,0,0,"['A', 'mom', 'and', 'dad', 'who', 'usually', 'say', 'no', 'decide', 'to', 'say', 'yes', 'to', 'their', 'kids', 'wildest', 'requests', 'with', 'a', 'few', 'ground', 'rules', 'on', 'a', 'whirlwind', 'day', 'of', 'fun', 'and', 'adventure', ' ']"
Amarcord,1974-06-07,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,7.9,44787.0,17,"['group of friends', 'satire', 'confession', ""staring at a woman's cleavage"", 'older woman younger man relationship']",1,0,1,0,0,0,0,0,0,"['A', 'series', 'of', 'comedic', 'and', 'nostalgic', 'vignettes', 'set', 'in', 'a', 's', 'Italian', 'coastal', 'town', 'group of friends', 'satire', 'confession', ""staring at a woman's cleavage"", 'older woman younger man relationship']"
Bolero,,"Set in the 1920s, a young woman sets out to lose her virginity. Her mission leads her to a Moroccan sheikh and a Spanish bullfighter.",,,,[' '],1,0,1,1,0,0,0,0,0,"['Set', 'in', 'the', 's', 'a', 'young', 'woman', 'sets', 'out', 'to', 'lose', 'her', 'virginity', 'Her', 'mission', 'leads', 'her', 'to', 'a', 'Moroccan', 'sheikh', 'and', 'a', 'Spanish', 'bullfighter', ' ']"
Carry on Up the Jungle,1970-03-20,Lady Evelyn Bagley mounts an expedition to find her long-lost baby. Bill Boosey is the fearless hunter and guide. Prof. Tinkle is searching for the rare Oozalum bird. Everything is going swimmingly until a gorilla enters the camp.,5.9,2992.0,Not Rated,"['swimming', 'carry on', 'tarzan spoof', 'camp', 'campy']",1,0,0,0,1,0,0,0,0,"['Lady', 'Evelyn', 'Bagley', 'mounts', 'an', 'expedition', 'to', 'find', 'her', 'long', 'lost', 'baby', 'Bill', 'Boosey', 'is', 'the', 'fearless', 'hunter', 'and', 'guide', 'Prof', 'Tinkle', 'is', 'searching', 'for', 'the', 'rare', 'Oozalum', 'bird', 'Everything', 'is', 'going', 'swimmingly', 'until', 'a', 'gorilla', 'enters', 'the', 'camp', 'swimming', 'carry on', 'tarzan spoof', 'camp', 'campy']"
Something from Tiffany's,,Follows a woman as her life gets upended when an engagement ring that was for someone else leads her to the person she's meant to be with.,,,,[' '],1,0,0,1,0,0,1,0,0,"['Follows', 'a', 'woman', 'as', 'her', 'life', 'gets', 'upended', 'when', 'an', 'engagement', 'ring', 'that', 'was', 'for', 'someone', 'else', 'leads', 'her', 'to', 'the', 'person', 'she', 's', 'meant', 'to', 'be', 'with', ' ']"
The Garbage Pail Kids Movie,1988-04-07,Dodger must confront the struggles of life as he is visited by the Garbage Pail Kids and intimidated by some older bullies.,2.7,8283.0,PG,"['garbage can', 'bully', 'vomiting', 'urination', 'greaser']",1,0,0,0,1,0,1,0,0,"['Dodger', 'must', 'confront', 'the', 'struggles', 'of', 'life', 'as', 'he', 'is', 'visited', 'by', 'the', 'Garbage', 'Pail', 'Kids', 'and', 'intimidated', 'by', 'some', 'older', 'bullies', 'garbage can', 'bully', 'vomiting', 'urination', 'greaser']"
The Lovemaster,1997-10-03,"Standup comic Craig Shoemaker tells the therapist stories of his failed relationships with women (dates, wife etc.)",5.7,112.0,R,"['therapist', 'independent film']",1,0,0,1,0,0,0,0,0,"['Standup', 'comic', 'Craig', 'Shoemaker', 'tells', 'the', 'therapist', 'stories', 'of', 'his', 'failed', 'relationships', 'with', 'women', 'dates', 'wife', 'etc', 'therapist', 'independent film']"
Poh wai ji wong,1994-02-03,"To prove himself to a love interest, a delivery boy learns dubious kung fu from an aging charlatan so he can challenge his archrival to a fight.",6.8,3454.0,TV-MA,['love'],1,0,0,1,1,0,0,0,0,"['To', 'prove', 'himself', 'to', 'a', 'love', 'interest', 'a', 'delivery', 'boy', 'learns', 'dubious', 'kung', 'fu', 'from', 'an', 'aging', 'charlatan', 'so', 'he', 'can', 'challenge', 'his', 'archrival', 'to', 'a', 'fight', 'love']"
Vampire in Brooklyn,1996-05-17,"A ship docks in Brooklyn with all its crew dead, but someone gets off and the killing continues on land. A Caribbean vampire is searching for a specific woman, half-human half-vampire. Rita is the detective investigating the many ...",4.6,24254.0,M/12,"['love triangle', 'villain', 'vampire', 'destiny', 'nightmare']",1,0,0,0,0,0,0,1,1,"['A', 'ship', 'docks', 'in', 'Brooklyn', 'with', 'all', 'its', 'crew', 'dead', 'but', 'someone', 'gets', 'off', 'and', 'the', 'killing', 'continues', 'on', 'land', 'A', 'Caribbean', 'vampire', 'is', 'searching', 'for', 'a', 'specific', 'woman', 'half', 'human', 'half', 'vampire', 'Rita', 'is', 'the', 'detective', 'investigating', 'the', 'many', 'love triangle', 'villain', 'vampire', 'destiny', 'nightmare']"
Song of the South,,"The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear.",,,,[' '],1,0,0,0,0,0,1,0,0,"['The', 'kindly', 'story', 'teller', 'Uncle', 'Remus', 'tells', 'a', 'young', 'boy', 'stories', 'about', 'trickster', 'Br', 'er', 'Rabbit', 'who', 'outwits', 'Br', 'er', 'Fox', 'and', 'slow', 'witted', 'Br', 'er', 'Bear', ' ']"
Hercules Returns,1993-09-16,"When Brad quits his job at a large cinema chain, to open his own picture theatre, his ex-boss sabotages the opening night by switching the Italian film with a non-subtitled version. Brad and his team hilariously improvise the dial...",7.3,1539.0,,"['greek mythology', 'zeus the greek deity', 'satire comedy', 'wrestling', 'kissing while having sex']",1,0,0,0,0,0,0,0,0,"['When', 'Brad', 'quits', 'his', 'job', 'at', 'a', 'large', 'cinema', 'chain', 'to', 'open', 'his', 'own', 'picture', 'theatre', 'his', 'ex', 'boss', 'sabotages', 'the', 'opening', 'night', 'by', 'switching', 'the', 'Italian', 'film', 'with', 'a', 'non', 'subtitled', 'version', 'Brad', 'and', 'his', 'team', 'hilariously', 'improvise', 'the', 'dial', 'greek mythology', 'zeus the greek deity', 'satire comedy', 'wrestling', 'kissing while having sex']"
Muppets Most Wanted,,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",,,,[' '],1,1,0,0,1,0,0,0,0,"['While', 'on', 'a', 'grand', 'world', 'tour', 'The', 'Muppets', 'find', 'themselves', 'wrapped', 'into', 'an', 'European', 'jewel', 'heist', 'caper', 'headed', 'by', 'a', 'Kermit', 'the', 'Frog', 'look', 'alike', 'and', 'his', 'dastardly', 'sidekick', ' ']"
Baby Geniuses and the Space Baby,,"When a Space Baby crash lands on Earth, the Baby Squad must race against time to stop an evil villain from taking over the universe.",2.0,3691.0,Not Rated,"['slimehouse', 'fifth part', 'sequel']",1,0,1,0,1,0,0,0,0,"['When', 'a', 'Space', 'Baby', 'crash', 'lands', 'on', 'Earth', 'the', 'Baby', 'Squad', 'must', 'race', 'against', 'time', 'to', 'stop', 'an', 'evil', 'villain', 'from', 'taking', 'over', 'the', 'universe', 'slimehouse', 'fifth part', 'sequel']"
The Devil's Disciple,1959-08-20,The black sheep of a family and the local minister discover their true vocations during the Revolutionary War.,7.0,2613.0,Approved,"['native american', 'american revolution', 'year 1777', 'based on play', 'horse']",1,0,0,1,0,1,0,0,0,"['The', 'black', 'sheep', 'of', 'a', 'family', 'and', 'the', 'local', 'minister', 'discover', 'their', 'true', 'vocations', 'during', 'the', 'Revolutionary', 'War', 'native american', 'american revolution', 'year 1777', 'based on play', 'horse']"
Babyteeth,,"Milla, a seriously ill teenager, falls in love with a drug dealer, Moses, her parents' worst nightmare.",,,,[' '],1,0,1,0,0,0,0,0,0,"['Milla', 'a', 'seriously', 'ill', 'teenager', 'falls', 'in', 'love', 'with', 'a', 'drug', 'dealer', 'Moses', 'her', 'parents', 'worst', 'nightmare', ' ']"
Tell Me Sweet Something,2015-09-11,"TELL ME SWEET SOMETHING tells the story of Moratiwa, an aspiring writer who owns and runs a bookstore in the heart of Johannesburg. The bookstore, like her love life, is not experiencing much success. This all changes when she mee...",7.8,61.0,,[' '],1,0,0,0,0,0,0,0,0,"['TELL', 'ME', 'SWEET', 'SOMETHING', 'tells', 'the', 'story', 'of', 'Moratiwa', 'an', 'aspiring', 'writer', 'who', 'owns', 'and', 'runs', 'a', 'bookstore', 'in', 'the', 'heart', 'of', 'Johannesburg', 'The', 'bookstore', 'like', 'her', 'love', 'life', 'is', 'not', 'experiencing', 'much', 'success', 'This', 'all', 'changes', 'when', 'she', 'mee', ' ']"
Your Place or Mine,,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,,,,[' '],1,0,0,1,0,0,0,0,0,"['Two', 'long', 'distance', 'best', 'friends', 'change', 'each', 'other', 's', 'lives', 'when', 'she', 'decides', 'to', 'pursue', 'a', 'lifelong', 'dream', 'and', 'he', 'volunteers', 'to', 'keep', 'an', 'eye', 'on', 'her', 'teenage', 'son', ' ']"
The Farewell,2020-01-09,"A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.",7.5,66823.0,M/12,"['cemetery', 'doctor', 'grief', 'lie', 'secret']",1,0,1,0,0,0,0,0,0,"['A', 'Chinese', 'family', 'discovers', 'their', 'grandmother', 'has', 'only', 'a', 'short', 'while', 'left', 'to', 'live', 'and', 'decide', 'to', 'keep', 'her', 'in', 'the', 'dark', 'scheduling', 'a', 'wedding', 'to', 'gather', 'before', 'she', 'dies', 'cemetery', 'doctor', 'grief', 'lie', 'secret']"
Ed Wood,1995-06-02,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",7.8,179083.0,M/12,"['film director', 'misfit', 'director', 'based on real person', 'black comedy']",1,0,1,0,0,1,0,0,0,"['Ambitious', 'but', 'troubled', 'movie', 'director', 'Edward', 'D', 'Wood', 'Jr', 'tries', 'his', 'best', 'to', 'fulfill', 'his', 'dreams', 'despite', 'his', 'lack', 'of', 'talent', 'film director', 'misfit', 'director', 'based on real person', 'black comedy']"
Groundhog Day,,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",,,,[' '],1,0,1,0,0,0,0,1,0,"['A', 'narcissistic', 'self', 'centered', 'weatherman', 'finds', 'himself', 'in', 'a', 'time', 'loop', 'on', 'Groundhog', 'Day', 'and', 'the', 'day', 'keeps', 'repeating', 'until', 'he', 'gets', 'it', 'right', ' ']"
Varljivo leto '68,1984-01-31,"For the young man who lives in Serbian province town, the maturing coincides with the turbulent political events of the year 1968.",8.5,5733.0,,"['female teacher male student romance', 'domineering father', 'coming of age', 'year 1968', 'grandfather grandson relationship']",1,0,1,1,0,0,0,0,0,"['For', 'the', 'young', 'man', 'who', 'lives', 'in', 'Serbian', 'province', 'town', 'the', 'maturing', 'coincides', 'with', 'the', 'turbulent', 'political', 'events', 'of', 'the', 'year', 'female teacher male student romance', 'domineering father', 'coming of age', 'year 1968', 'grandfather grandson relationship']"
Los lunes al sol,2003-04-18,"This is the story of those who live as if every day was a constant Sunday, those who spend their Mondays in the sun. The story of people who worked in a dockyard but are now unemployed.",7.5,14875.0,R,"['spain', 'northern spain', 'coastal town', 'docker', 'financial trouble']",1,0,1,0,0,0,0,0,0,"['This', 'is', 'the', 'story', 'of', 'those', 'who', 'live', 'as', 'if', 'every', 'day', 'was', 'a', 'constant', 'Sunday', 'those', 'who', 'spend', 'their', 'Mondays', 'in', 'the', 'sun', 'The', 'story', 'of', 'people', 'who', 'worked', 'in', 'a', 'dockyard', 'but', 'are', 'now', 'unemployed', 'spain', 'northern spain', 'coastal town', 'docker', 'financial trouble']"
Turk 182,1986-08-29,"Jimmy Lynch is angry because his older brother, who was injured as a result of an off duty fire rescue, is denied benefits by the city.",5.9,3987.0,M/12,"['conspiracy', 'brother brother relationship', 'fire', 'vigilante', 'falling from height']",1,0,1,0,0,0,0,0,0,"['Jimmy', 'Lynch', 'is', 'angry', 'because', 'his', 'older', 'brother', 'who', 'was', 'injured', 'as', 'a', 'result', 'of', 'an', 'off', 'duty', 'fire', 'rescue', 'is', 'denied', 'benefits', 'by', 'the', 'city', 'conspiracy', 'brother brother relationship', 'fire', 'vigilante', 'falling from height']"
The Band Wagon,1954-04-15,A pretentiously artistic director is hired for a new Broadway musical and changes it beyond recognition.,7.4,11859.0,Passed,"['national film registry', 'leotard', 'toe shoes', 'f rated', 'classic musical']",1,0,0,1,0,0,0,0,0,"['A', 'pretentiously', 'artistic', 'director', 'is', 'hired', 'for', 'a', 'new', 'Broadway', 'musical', 'and', 'changes', 'it', 'beyond', 'recognition', 'national film registry', 'leotard', 'toe shoes', 'f rated', 'classic musical']"
Thor: Ragnarok,2017-10-26,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9,769103.0,M/12,"['superhero', 'marvel comics', 'based on comic book', 'marvel cinematic universe', 'female villain']",1,0,0,0,1,0,0,0,0,"['Imprisoned', 'on', 'the', 'planet', 'Sakaar', 'Thor', 'must', 'race', 'against', 'time', 'to', 'return', 'to', 'Asgard', 'and', 'stop', 'Ragnar', 'k', 'the', 'destruction', 'of', 'his', 'world', 'at', 'the', 'hands', 'of', 'the', 'powerful', 'and', 'ruthless', 'villain', 'Hela', 'superhero', 'marvel comics', 'based on comic book', 'marvel cinematic universe', 'female villain']"
All in Good Taste,1983-05-06,A filmmaker is upset to find out that his wholesome script about an orphan and his dog has been warped into a film about strippers.,2.9,510.0,,"['male full frontal nudity', 'male pubic hair', 'pubic hair', 'male frontal nudity', 'nudity']",1,0,0,0,0,0,0,0,0,"['A', 'filmmaker', 'is', 'upset', 'to', 'find', 'out', 'that', 'his', 'wholesome', 'script', 'about', 'an', 'orphan', 'and', 'his', 'dog', 'has', 'been', 'warped', 'into', 'a', 'film', 'about', 'strippers', 'male full frontal nudity', 'male pubic hair', 'pubic hair', 'male frontal nudity', 'nudity']"
Monkeybone,2001-02-23,"In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone.",4.8,18565.0,PG-13,"['coma', 'carnival', 'monkey', 'fantasy sequence', 'drawing']",1,0,0,0,0,0,1,1,0,"['In', 'a', 'coma', 'a', 'cartoonist', 'finds', 'himself', 'trapped', 'within', 'his', 'own', 'underground', 'creation', 'and', 'must', 'find', 'a', 'way', 'to', 'get', 'back', 'while', 'racing', 'against', 'his', 'popular', 'but', 'treacherous', 'character', 'Monkeybone', 'coma', 'carnival', 'monkey', 'fantasy sequence', 'drawing']"
Mystery Team,2009-01-17,A group of former Encyclopedia Brown-style child-detectives struggle to solve an adult mystery.,6.6,9545.0,R,"['boy wears eyeglasses', 'child', 'absurd comedy', 'slimehouse', 'bumbling detective mystery']",1,1,0,0,0,0,0,0,1,"['A', 'group', 'of', 'former', 'Encyclopedia', 'Brown', 'style', 'child', 'detectives', 'struggle', 'to', 'solve', 'an', 'adult', 'mystery', 'boy wears eyeglasses', 'child', 'absurd comedy', 'slimehouse', 'bumbling detective mystery']"
Mike and Dave Need Wedding Dates,,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",,,,[' '],1,0,0,1,0,0,0,0,0,"['Two', 'hard', 'partying', 'brothers', 'place', 'an', 'online', 'ad', 'to', 'find', 'the', 'perfect', 'dates', 'for', 'their', 'sister', 's', 'Hawaiian', 'wedding', 'Hoping', 'for', 'a', 'wild', 'getaway', 'the', 'boys', 'instead', 'find', 'themselves', 'out', 'hustled', 'by', 'an', 'uncontrollable', 'duo', ' ']"
Outside Ozona,1998-12-18,A drama revolving around a group of strangers brought together by a common occurrence as well as listening to the same radio station.,6.0,970.0,R,"['radio show', 'fbi federal bureau of investigation', 'radio station', 'circus', 'texas']",1,0,1,1,0,0,0,0,0,"['A', 'drama', 'revolving', 'around', 'a', 'group', 'of', 'strangers', 'brought', 'together', 'by', 'a', 'common', 'occurrence', 'as', 'well', 'as', 'listening', 'to', 'the', 'same', 'radio', 'station', 'radio show', 'fbi federal bureau of investigation', 'radio station', 'circus', 'texas']"
Air Bud: Seventh Inning Fetch,2002-06-18,Josh has gone to college and his little sister Andrea enlists their dog Buddy in her baseball team just as Buddy's puppies are kidnapped by Rocky the Raccoon.,4.4,2303.0,G,"['2000s', 'baseball', 'animal character name in title', 'air bud character', 'five word title']",1,0,1,0,0,0,1,0,0,"['Josh', 'has', 'gone', 'to', 'college', 'and', 'his', 'little', 'sister', 'Andrea', 'enlists', 'their', 'dog', 'Buddy', 'in', 'her', 'baseball', 'team', 'just', 'as', 'Buddy', 's', 'puppies', 'are', 'kidnapped', 'by', 'Rocky', 'the', 'Raccoon', '2000s', 'baseball', 'animal character name in title', 'air bud character', 'five word title']"
The Sword in the Stone,1969-11-05,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.",7.1,101234.0,M/6,"['wizard', 'sword', 'owl', 'castle', 'knight']",1,0,0,0,1,0,1,0,0,"['A', 'poor', 'boy', 'named', 'Arthur', 'learns', 'the', 'power', 'of', 'love', 'kindness', 'knowledge', 'and', 'bravery', 'with', 'the', 'help', 'of', 'a', 'wizard', 'called', 'Merlin', 'in', 'the', 'path', 'to', 'become', 'one', 'of', 'the', 'most', 'beloved', 'kings', 'in', 'English', 'history', 'wizard', 'sword', 'owl', 'castle', 'knight']"
I.Q.,1994-12-25,"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.",6.2,25953.0,PG,"['genius', 'mechanic', 'laboratory animal', 'man wears eyeglasses', 'initialism in title']",1,0,0,1,0,0,0,0,0,"['A', 'mechanic', 'romances', 'the', 'mathematician', 'niece', 'of', 'physicist', 'Albert', 'Einstein', 'with', 'help', 'from', 'him', 'and', 'his', 'friends', 'genius', 'mechanic', 'laboratory animal', 'man wears eyeglasses', 'initialism in title']"
Relatos salvajes,2015-02-19,Six short stories that explore the extremities of human behavior involving people in distress.,8.1,203585.0,M/16,"['anthology film', 'suicide by airplane crash', 'revenge', 'wedding party', 'road rage']",1,0,1,0,0,0,0,0,1,"['Six', 'short', 'stories', 'that', 'explore', 'the', 'extremities', 'of', 'human', 'behavior', 'involving', 'people', 'in', 'distress', 'anthology film', 'suicide by airplane crash', 'revenge', 'wedding party', 'road rage']"
A Scanner Darkly,,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,,,,[' '],1,1,0,0,0,0,1,0,0,"['An', 'undercover', 'cop', 'in', 'a', 'not', 'too', 'distant', 'future', 'becomes', 'involved', 'with', 'a', 'dangerous', 'new', 'drug', 'and', 'begins', 'to', 'lose', 'his', 'own', 'identity', 'as', 'a', 'result', ' ']"
El viaje a ninguna parte,1987-08-20,The movie tells the story of a family of comedians that work in the towns of Spain during the 40's and 50's. Life gets very tough for them since they cannot compete any longer with cinema. We assist to the end of an era.,7.5,1763.0,,"['spain', 'comedian', '1950s', '1940s', 'post war']",1,0,1,0,0,0,0,0,0,"['The', 'movie', 'tells', 'the', 'story', 'of', 'a', 'family', 'of', 'comedians', 'that', 'work', 'in', 'the', 'towns', 'of', 'Spain', 'during', 'the', 's', 'and', 's', 'Life', 'gets', 'very', 'tough', 'for', 'them', 'since', 'they', 'cannot', 'compete', 'any', 'longer', 'with', 'cinema', 'We', 'assist', 'to', 'the', 'end', 'of', 'an', 'era', 'spain', 'comedian', '1950s', '1940s', 'post war']"
Wasabi,2002-06-28,"In Japan for the funeral of his long-lost love, a tough French detective learns that he also has a teenage daughter and that her life is in danger from the Yakuza.",6.6,41251.0,R,"['frenchman abroad', 'hit with a golf ball', 'dinner date', 'will', 'video arcade']",1,0,1,0,1,0,0,0,0,"['In', 'Japan', 'for', 'the', 'funeral', 'of', 'his', 'long', 'lost', 'love', 'a', 'tough', 'French', 'detective', 'learns', 'that', 'he', 'also', 'has', 'a', 'teenage', 'daughter', 'and', 'that', 'her', 'life', 'is', 'in', 'danger', 'from', 'the', 'Yakuza', 'frenchman abroad', 'hit with a golf ball', 'dinner date', 'will', 'video arcade']"
Zero Effect,1998-01-30,The world's greatest detective Daryl Zero aided by his associate Steve Arlo investigates a complex and mysterious case of blackmail and missing keys for shady tycoon Gregory Stark who is less than forthcoming about what is really ...,6.9,14748.0,M/12,"['private detective', 'los angeles california', 'neo noir', 'detective', 'missing key']",1,1,1,0,0,0,0,0,0,"['The', 'world', 's', 'greatest', 'detective', 'Daryl', 'Zero', 'aided', 'by', 'his', 'associate', 'Steve', 'Arlo', 'investigates', 'a', 'complex', 'and', 'mysterious', 'case', 'of', 'blackmail', 'and', 'missing', 'keys', 'for', 'shady', 'tycoon', 'Gregory', 'Stark', 'who', 'is', 'less', 'than', 'forthcoming', 'about', 'what', 'is', 'really', 'private detective', 'los angeles california', 'neo noir', 'detective', 'missing key']"
