Name,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Description Tokenized
Inspector Gadget 2,1,1,0,0,1,0,0,0,0,"['inspector', 'gadget', 'return', 'sequel', 'hit', 'glitched', 'gadget', 'must', 'fight', 'arch', 'nemesis', 'claw', 'aid', 'female', 'gadget', 'g']"
Thirteen Women,0,1,1,0,0,0,0,0,1,"['ursula', 'plot', 'murder', 'women', 'supernatural', 'power']"
Minions,1,0,0,0,1,0,1,0,0,"['minions', 'stuart', 'kevin', 'bob', 'recruit', 'scarlet', 'overkill', 'supervillain', 'alongside', 'inventor', 'husband', 'herb', 'hatch', 'plot', 'take', 'world']"
Loving Jezebel,1,0,0,1,0,0,0,0,0,"['man', 'curse', 'fall', 'love', 'mens', 'women']"
The Big Knife,0,1,1,0,0,0,0,0,0,"['hollywood', 'actor', 'charles', 'castle', 'pressure', 'studio', 'boss', 'criminal', 'cover', 'protect', 'valuable', 'career']"
St Trinian's 2: The Legend of Fritton's Gold,1,0,0,0,1,0,1,0,0,"['girls', 'st', 'trinians', 'hunt', 'bury', 'treasure', 'discover', 'headmistress', 'miss', 'fritton', 'relate', 'famous', 'pirate']"
Qin song,0,0,1,0,0,1,0,0,0,"['epic', 'drama', 'chinas', 'first', 'emperor', 'bc', 'struggle', 'make', 'childhood', 'best', 'friend', 'chinas', 'greatest', 'composer', 'succumb', 'compose', 'grand', 'anthem', 'exploit']"
Care Bears Movie II: A New Generation,1,0,0,0,1,0,1,0,0,"['care', 'bear', 'try', 'help', 'young', 'girl', 'summer', 'camp', 'effort', 'revamp', 'dorky', 'social', 'status', 'agility', 'skill', 'enter', 'sinister', 'bargain', 'shape', 'shift', 'demon', 'pose', 'young', 'boy']"
Poketto monsutâ: Serebî - Toki wo koeta deai,0,0,0,0,1,0,1,0,0,"['ash', 'must', 'stop', 'hunter', 'force', 'mythical', 'pokemon', 'celebi', 'help', 'destroy', 'forest']"
Borsalino,0,1,1,0,0,0,0,0,0,"['marseilles', 'france', 'small', 'time', 'crook', 'work', 'local', 'crime', 'boss', 'decide', 'go', 'business']"
Meet the Parents,1,0,0,1,0,0,0,0,0,"['male', 'nurse', 'greg', 'focker', 'meet', 'girlfriends', 'parent', 'propose', 'suspicious', 'father', 'every', 'date', 'worst', 'nightmare']"
Injustice,0,0,0,0,1,0,1,0,0,"['alternate', 'earth', 'joker', 'trick', 'superman', 'kill', 'lois', 'lane', 'cause', 'rampage', 'hero', 'superman', 'decide', 'take', 'control', 'earth', 'batman', 'ally', 'attempt', 'stop']"
The Princess and the Goblin,1,0,0,0,1,0,1,0,0,"['naive', 'princess', 'beloved', 'cat', 'poor', 'mine', 'boy', 'team', 'save', 'kingdom', 'nasty', 'underground', 'realm', 'bad', 'mannered', 'goblins']"
Shaukeen,1,0,0,0,0,0,0,0,0,"['friends', 'try', 'everything', 'couldnt', 'younger', 'days', 'death', 'arrive']"
Anna and the King of Siam,0,0,1,1,0,1,0,0,0,"['young', 'englishwoman', 'become', 'royal', 'tutor', 'siam', 'befriend', 'king']"
Gunsmoke: The Last Apache,0,0,0,0,1,0,0,0,0,"['jam', 'arness', 'rid', 'matt', 'dillon', 'u', 'marshal', 'make', 'popular', 'television', 'series', 'movie', 'go', 'renegade', 'apache', 'name', 'wolf', 'joe', 'lara', 'take', 'daughter', 'captive', 'bargain', 'ch']"
Lethal Weapon 2,0,1,0,0,1,0,0,0,1,"['riggs', 'murtaugh', 'trail', 'south', 'african', 'diplomats', 'use', 'immunity', 'engage', 'criminal', 'activities']"
Men at Work,1,1,0,0,1,0,0,0,0,"['garbage', 'men', 'uncover', 'conspiracy', 'involve', 'illegal', 'toxic', 'waste', 'dump', 'decide', 'bring', 'whole', 'operation']"
Emil and the Detectives,1,1,1,0,0,0,0,0,0,"['emil', 'go', 'berlin', 'see', 'grandmother', 'large', 'amount', 'money', 'offer', 'sweets', 'strange', 'man', 'make', 'sleep', 'wake', 'stop', 'money', 'group', 'children', 'save', 'day']"
Desk Set,1,0,0,1,0,0,0,0,0,"['extremely', 'strong', 'personalities', 'clash', 'computerization', 'television', 'network', 'research', 'department']"
Jonah Hex,0,0,1,0,1,0,0,1,0,"['u', 'military', 'make', 'scar', 'bounty', 'hunter', 'warrant', 'head', 'offer', 'cannot', 'refuse', 'exchange', 'freedom', 'must', 'stop', 'terrorist', 'ready', 'unleash', 'hell', 'earth']"
Péril en la demeure,0,1,1,0,0,0,0,0,1,"['magnate', 'younger', 'wife', 'hire', 'david', 'teach', 'guitar', 'teenage', 'daughter', 'wife', 'quickly', 'seduce', 'david', 'simultaneously', 'strike', 'acquaintance', 'familys', 'inquisitive', 'neighbor', 'night', 'david', 'mugg']"
Return of the Six Million Dollar Man and the Bionic Woman,0,0,0,0,1,0,0,1,0,"['years', 'retirement', 'government', 'colonel', 'steve', 'austin', 'must', 'team', 'jaime', 'sommers', 'stop', 'terrorist', 'group', 'complicate', 'matter', 'austin', 'estrange', 'son', 'michael', 'struggle', 'father']"
Gardish,0,1,1,0,1,0,0,0,0,"['soon', 'police', 'officer', 'take', 'path', 'crime', 'father', 'get', 'attack', 'hoodlums']"
Space Marines,0,0,0,0,1,0,0,1,0,"['space', 'pirate', 'lead', 'diabolical', 'colonel', 'fraser', 'take', 'cargo', 'ship', 'carry', 'anti', 'matter', 'explosive', 'important', 'official', 'space', 'marines', 'lead', 'captain', 'gray', 'must', 'stop', 'evil', 'plan']"
C.H.O.M.P.S.,1,0,0,0,0,0,1,1,0,"['young', 'man', 'invent', 'robot', 'dog', 'super', 'strength', 'x', 'ray', 'vision', 'detect', 'crimes', 'commit', 'greedy', 'businessman', 'try', 'steal', 'invention']"
Osama,0,0,1,0,0,0,0,0,0,"['rise', 'taliban', 'afghanistan', 'restriction', 'women', 'public', 'life', 'pre', 'teen', 'girl', 'force', 'masquerade', 'boy', 'order', 'work', 'support', 'mother', 'grandmother']"
Bob le flambeur,0,1,1,0,0,0,0,0,1,"['lose', 'big', 'age', 'gambler', 'decide', 'assemble', 'team', 'rob', 'casino']"
Ferdinand,1,0,0,0,1,0,1,0,0,"['ferdinand', 'bull', 'big', 'heart', 'mistake', 'dangerous', 'beast', 'capture', 'tear', 'home', 'determine', 'return', 'family', 'rally', 'misfit', 'team', 'ultimate', 'adventure']"
Funny Face,0,1,1,1,0,0,0,0,0,"['destruction', 'grandparents', 'home', 'lead', 'young', 'man', 'take', 'revenge', 'mask', 'persona']"
The Legend of Zorro,0,0,0,1,1,0,0,0,0,"['despite', 'try', 'keep', 'swashbuckling', 'minimum', 'threat', 'californias', 'pending', 'statehood', 'cause', 'adventure', 'love', 'alejandro', 'de', 'la', 'vega', 'wife', 'elena', 'take', 'action']"
The Devil's Disciple,1,0,0,1,0,1,0,0,0,"['black', 'sheep', 'family', 'local', 'minister', 'discover', 'true', 'vocations', 'revolutionary', 'war']"
Quills,0,0,1,0,0,1,0,0,0,"['napoleonic', 'era', 'insane', 'asylum', 'inmate', 'irrepressible', 'marquis', 'de', 'sade', 'fight', 'battle', 'tyrannically', 'prudish', 'doctor']"
The Adjustment Bureau,0,0,0,1,0,0,0,1,1,"['affair', 'politician', 'contemporary', 'dancer', 'affect', 'mysterious', 'force', 'keep', 'lovers', 'apart']"
The Reluctant Astronaut,1,0,0,0,0,0,1,1,0,"['nasa', 'janitor', 'send', 'space']"
An American Werewolf in Paris,1,0,0,0,0,0,0,1,1,"['american', 'man', 'unwittingly', 'get', 'involve', 'french', 'werewolves', 'develop', 'serum', 'allow', 'transform']"
Tremors II: Aftershocks,1,0,0,0,1,0,0,0,1,"['earl', 'bassett', 'wash', 'ex', 'celebrity', 'hire', 'mexican', 'oil', 'company', 'eradicate', 'graboid', 'epidemic', 'thats', 'kill', 'people', 'day', 'humans', 'arent', 'new', 'battle', 'plan']"
Virgin Territory,1,0,0,1,1,0,0,0,0,"['young', 'florentines', 'take', 'refuge', 'black', 'plague', 'engage', 'bawdy', 'adventure', 'lusty', 'exchange']"
So I Married an Axe Murderer,1,0,0,1,0,0,0,0,0,"['san', 'francisco', 'poet', 'fear', 'commitment', 'suspect', 'girlfriend', 'knack', 'kill', 'significant', 'others']"
Annie Hall,1,0,0,1,0,0,0,0,0,"['alvy', 'singer', 'divorce', 'jewish', 'comedian', 'reflect', 'relationship', 'ex', 'lover', 'annie', 'hall', 'aspire', 'nightclub', 'singer', 'end', 'abruptly', 'like', 'previous', 'marriages']"
Mannequin,1,0,0,1,0,0,0,1,0,"['young', 'artist', 'search', 'vocation', 'make', 'mannequin', 'perfect', 'fall', 'love', 'mannequin', 'store', 'window', 'get', 'job', 'creation', 'come', 'life']"
Robinson Crusoe on Mars,0,0,0,0,1,0,0,1,0,"['strand', 'mar', 'monkey', 'companion', 'astronaut', 'must', 'figure', 'oxygen', 'water', 'food', 'lifeless', 'planet']"
The Cup,0,0,1,0,0,1,0,0,0,"['melbourne', 'cup', 'horse', 'race', 'brotherly', 'love', 'triumph', 'human', 'spirit', 'true', 'story']"
Jungle Goddess,0,1,0,0,1,0,0,0,0,"['plane', 'carry', 'daughter', 'millionaire', 'crash', 'african', 'jungle', 'pilot', 'set', 'collect', 'reward', 'discover', 'become', 'goddess', 'primitive', 'tribe', 'insurgent', 'witch', 'doctor', 'fierce', 'w']"
You Better Watch Out,0,0,0,0,0,0,0,0,1,"['toy', 'factory', 'worker', 'mentally', 'scar', 'child', 'upon', 'learn', 'santa', 'claus', 'real', 'suffer', 'nervous', 'breakdown', 'belittle', 'work', 'embark', 'yuletide', 'kill', 'spree']"
Critters,1,0,0,0,0,0,0,1,1,"['group', 'small', 'vicious', 'alien', 'creatures', 'call', 'crites', 'escape', 'alien', 'prison', 'transport', 'vessel', 'land', 'near', 'small', 'farm', 'town', 'earth', 'pursue', 'shape', 'shift', 'bounty', 'hunters']"
Leap of Faith: William Friedkin on The Exorcist,0,0,0,0,0,1,0,0,0,"['lyrical', 'spiritual', 'cinematic', 'essay', 'exorcist', 'explore', 'depths', 'william', 'friedkins', 'mind', 'eye', 'nuances', 'filmmaking', 'process', 'mysteries', 'faith', 'fate', 'shape', 'life', 'filmography']"
Wonder Boys,1,0,1,0,0,0,0,0,0,"['english', 'professor', 'try', 'deal', 'wife', 'leave', 'arrival', 'editor', 'wait', 'book', 'years', 'various', 'problems', 'friends', 'associate', 'involve']"
Under the Tuscan Sun,1,0,1,1,0,0,0,0,0,"['writer', 'impulsively', 'buy', 'villa', 'tuscany', 'order', 'change', 'life']"
Stuck on You!,1,0,0,1,0,0,0,0,0,"['couple', 'marriage', 'problems', 'go', 'family', 'court', 'judge', 'take', 'back', 'time', 'view', 'lovers', 'age']"
Turn It Up,0,1,1,0,1,0,0,0,0,"['gift', 'musician', 'struggle', 'rise', 'crime', 'plague', 'urban', 'streets', 'realize', 'dream']"
The Handmaid's Tale,0,0,1,1,0,0,0,1,0,"['dystopian', 'religious', 'tyranny', 'women', 'cannot', 'conceive', 'children', 'young', 'women', 'live', 'form', 'sexual', 'slavery', 'provide', 'children', 'influential', 'families']"
Hocus Pocus,1,0,0,0,0,0,1,1,0,"['teenage', 'boy', 'name', 'max', 'little', 'sister', 'move', 'salem', 'struggle', 'fit', 'awaken', 'trio', 'diabolical', 'witch', 'execute', 'th', 'century']"
Sonic the Hedgehog 3,0,0,0,0,1,0,1,0,0,"['plot', 'wrap']"
The Curse of the Were-Rabbit,1,0,0,0,1,0,1,0,0,"['wallace', 'loyal', 'dog', 'gromit', 'set', 'discover', 'mystery', 'behind', 'garden', 'sabotage', 'plague', 'village', 'threaten', 'annual', 'giant', 'vegetable', 'grow', 'contest']"
Francis Covers the Big Town,1,1,0,0,1,0,0,0,0,"['man', 'talk', 'mule', 'get', 'job', 'newspaper', 'get', 'mix', 'murder', 'trial']"
Frances Ha,1,0,1,1,0,0,0,0,0,"['new', 'york', 'woman', 'apprentice', 'dance', 'company', 'throw', 'headlong', 'dream', 'even', 'possibility', 'realize', 'dwindle']"
Father & Son,0,0,1,0,0,0,0,1,0,"['unpopular', 'teenager', 'meet', 'father', 'become', 'spirit', 'death', 'father', 'guide', 'love', 'rise', 'bully', 'school']"
Chicken Little,1,0,0,0,1,0,1,0,0,"['ruin', 'reputation', 'town', 'courageous', 'chicken', 'must', 'come', 'rescue', 'fellow', 'citizens', 'alien', 'start', 'invasion']"
Zulu Dawn,0,0,1,0,1,1,0,0,0,"['dramatization', 'battle', 'isandlwana', 'british', 'army', 'meet', 'match', 'zulu', 'nation']"
The Night Clerk,0,1,1,0,0,0,0,0,1,"['voyeuristic', 'hotel', 'clerk', 'become', 'subject', 'murder', 'investigation']"
Transformers,0,0,0,0,1,0,0,1,0,"['ancient', 'struggle', 'cybertronian', 'race', 'heroic', 'autobots', 'evil', 'decepticons', 'come', 'earth', 'clue', 'ultimate', 'power', 'hold', 'teenager']"
The Christmas Chronicles,1,0,0,0,1,0,1,0,0,"['story', 'sister', 'brother', 'kate', 'teddy', 'pierce', 'whose', 'christmas', 'eve', 'plan', 'catch', 'santa', 'claus', 'camera', 'turn', 'unexpected', 'journey', 'kid', 'could', 'dream']"
Shattered,0,0,0,0,0,0,0,0,1,"['rich', 'divorcee', 'chris', 'fall', 'love', 'mysterious', 'woman', 'sky', 'chris', 'ex', 'wife', 'child', 'eventually', 'get', 'trap', 'desperate', 'fight', 'survival', 'likely', 'ensue']"
Stage Struck,1,0,0,1,0,0,0,0,0,"['broadway', 'dance', 'director', 'george', 'randall', 'dick', 'powell', 'stick', 'stag', 'broadway', 'show', 'star', 'peggy', 'revere', 'joan', 'blondell', 'wealthy', 'untalented', 'performer', 'star', 'back', 'show', 'temper', 'fla']"
Apollo 11,0,0,0,0,0,1,0,0,0,"['look', 'apollo', 'mission', 'land', 'moon', 'lead', 'commander', 'neil', 'armstrong', 'pilot', 'buzz', 'aldrin', 'mike', 'collins']"
Carol,0,0,1,1,0,0,0,0,0,"['aspire', 'photographer', 'develop', 'intimate', 'relationship', 'older', 'woman', 'new', 'york']"
Aliens in the Attic,1,0,0,0,1,0,1,0,0,"['group', 'kid', 'must', 'protect', 'vacation', 'home', 'invade', 'alien']"
Praise This,0,0,0,1,0,0,0,0,0,"['youth', 'choir', 'gather', 'together', 'music', 'competition']"
Amongst Friends,0,1,1,0,0,0,0,0,0,"['bore', 'long', 'island', 'buddies', 'seek', 'excitement', 'streets', 'perilous', 'result']"
ParaNorman,1,0,0,0,1,0,1,0,0,"['misunderstand', 'boy', 'take', 'ghost', 'zombies', 'grow', 'save', 'town', 'centuries', 'old', 'curse']"
Too Late for Tears,0,1,1,0,0,0,0,0,0,"['fluke', 'circumstance', 'ruthless', 'woman', 'stumble', 'suitcase', 'fill', 'determine', 'hold', 'onto', 'even', 'mean', 'murder']"
Sixteen Candles,1,0,0,1,0,0,0,0,0,"['girls', 'sweet', 'sixteenth', 'birthday', 'anything', 'special', 'family', 'forget', 'suffer', 'every', 'embarrassment', 'possible']"
The Phantom Empire,1,0,0,0,1,0,0,1,0,"['man', 'eat', 'cave', 'creature', 'appear', 'fortune', 'uncut', 'diamonds', 'around', 'neck', 'dr', 'chamber', 'daughter', 'denae', 'hire', 'adventurers', 'c', 'c', 'salvage', 'underground', 'source', 'gems', 'accompany', 'archeaological', 'inter']"
Little Men,0,0,1,0,0,0,0,0,0,"['base', 'classic', 'novel', 'louisa', 'alcott', 'homeless', 'boys', 'boston', 'plumfield', 'rural', 'board', 'school', 'run', 'jo', 'husband', 'boys', 'learn', 'academic', 'life', 'lessons', 'wont', 'ever']"
Fat Pizza,1,0,0,0,1,0,0,0,0,"['life', 'suburban', 'sydney', 'pizzeria']"
Coup de tête,1,0,1,0,0,0,0,0,0,"['miserable', 'football', 'player', 'become', 'town', 'hero', 'bring', 'victory', 'extremely', 'important', 'game', 'use', 'fame', 'revenge', 'team', 'star', 'previous', 'mockeries']"
Thunderbolt and Lightfoot,1,1,0,0,1,0,0,0,0,"['help', 'irreverent', 'young', 'sidekick', 'bank', 'robber', 'get', 'old', 'gang', 'back', 'together', 'organize', 'dare', 'new', 'heist']"
The Sorcerer's Apprentice,0,0,0,0,1,0,1,0,0,"['balthazar', 'blake', 'apprentice', 'legendary', 'magician', 'merlin', 'must', 'train', 'old', 'teachers', 'successor', 'introvert', 'resourceful', 'physics', 'prodigy', 'art', 'sorcery', 'prevent', 'return', 'morgana', 'le', 'fay']"
Sicario,0,1,1,0,1,0,0,0,0,"['idealistic', 'fbi', 'agent', 'enlist', 'government', 'task', 'force', 'aid', 'escalate', 'war', 'drug', 'border', 'area', 'u', 'mexico']"
Taurus,0,0,1,0,0,1,0,0,0,"['follow', 'last', 'days', 'rise', 'problematic', 'musician']"
Pray for Death: A John Carpenter Tribute at the Leona Gallery,1,0,0,0,0,1,0,0,0,"['kevin', 'dimension', 'brenda', 'dickerson', 'zombie', 'life', 'tv', 'hang', 'local', 'austin', 'texas', 'art', 'gallery', 'exhibit', 'work', 'base', 'film', 'john', 'carpenter']"
A Perfect Pairing,1,0,0,1,0,0,0,0,0,"['follow', 'hard', 'drive', 'la', 'wine', 'company', 'executive', 'travel', 'australian', 'sheep', 'station', 'land', 'major', 'client', 'end', 'work', 'ranch', 'hand', 'spark', 'rugged', 'local']"
Once Around,1,0,1,1,0,0,0,0,0,"['renata', 'bella', 'feel', 'like', 'failure', 'life', 'career', 'renata', 'attend', 'seminar', 'sell', 'real', 'estate', 'finally', 'true', 'love', 'sam', 'sharpe', 'top', 'notch', 'successful', 'salesman', 'much', 'older', 'renata', 'swe']"
Möbius,0,0,1,0,0,0,0,0,1,"['fsb', 'officer', 'fall', 'love', 'agent', 'american', 'woman', 'work', 'trader', 'russian', 'bank']"
Yesterday's Enemy,0,0,1,0,1,0,0,0,0,"['world', 'war', 'ii', 'japanese', 'invasion', 'burma', 'lose', 'remnant', 'british', 'army', 'brigade', 'hq', 'lead', 'ruthless', 'captain', 'alan', 'langford', 'escape', 'jungle', 'toward', 'british', 'line']"
Vaimoke,1,0,0,1,0,0,0,0,0,"['esko', 'make', 'bet', 'marry', 'first', 'young', 'woman', 'encounter', 'turn', 'kirsti', 'promptly', 'turn', 'proposals', 'bet', 'agree', 'marry', 'order', 'get', 'revenge']"
Homicide,0,1,0,0,0,0,0,0,1,"['jewish', 'homicide', 'detective', 'investigate', 'seemingly', 'minor', 'murder', 'fall', 'zionist', 'group', 'result']"
The Horse Whisperer,0,0,1,1,1,0,0,0,0,"['mother', 'severely', 'traumatize', 'daughter', 'enlist', 'aid', 'unique', 'horse', 'trainer', 'help', 'girls', 'equally', 'injure', 'horse']"
The Elephant Man,0,0,1,0,0,1,0,0,0,"['victorian', 'surgeon', 'rescue', 'heavily', 'disfigure', 'man', 'mistreat', 'scrap', 'live', 'side', 'show', 'freak', 'behind', 'monstrous', 'facade', 'reveal', 'person', 'kindness', 'intelligence', 'sophistication']"
Star Trek: First Contact,0,0,1,0,1,0,0,0,0,"['borg', 'travel', 'back', 'time', 'intent', 'prevent', 'earth', 'first', 'contact', 'alien', 'species', 'captain', 'picard', 'crew', 'pursue', 'ensure', 'zefram', 'cochrane', 'make', 'maiden', 'flight', 'reach', 'warp', 'speed']"
About Mrs. Leslie,0,0,1,1,0,0,0,0,0,"['room', 'house', 'landlady', 'recall', 'past', 'flashbacks']"
Real Genius,1,0,0,1,0,0,0,1,0,"['uptight', 'teenage', 'prodigy', 'enter', 'top', 'engineer', 'college', 'feel', 'awkward', 'freewheel', 'students', 'professor', 'aim', 'turn', 'laser', 'project', 'military', 'weapon', 'offbeat', 'roommate', 'plot', 'ruin']"
Sprung,1,0,0,1,0,0,0,0,0,"['pair', 'best', 'friends', 'montel', 'clyde', 'brandy', 'adina', 'meet', 'party', 'clyde', 'make', 'adina', 'think', 'rich', 'get', 'bed', 'even', 'adina', 'shes', 'fool', 'become', 'clyde']"
"Namu, the Killer Whale",0,0,1,0,1,0,1,0,0,"['robert', 'lansing', 'lee', 'meriwether', 'star', 'warm', 'compel', 'family', 'drama', 'compassionate', 'scientist', 'form', 'unlikely', 'friendship', 'magnificent', 'killer', 'whale']"
Tolkien,0,0,1,1,0,1,0,0,0,"['tolkiens', 'novels', 'inspire', 'moms', 'storytelling', 'fall', 'love', 'another', 'orphan', 'edith', 'form', 'brotherhood', 'misfits', 'school', 'oxford', 'trench', 'war', 'wwi', 'later', 'tell', 'stories', 'kid']"
Hook,1,0,0,0,1,0,1,0,0,"['captain', 'jam', 'hook', 'kidnap', 'children', 'adult', 'peter', 'pan', 'must', 'return', 'neverland', 'reclaim', 'youthful', 'spirit', 'order', 'challenge', 'old', 'enemy']"
The Incredibles,0,0,0,0,1,0,1,0,0,"['try', 'lead', 'quiet', 'suburban', 'life', 'family', 'undercover', 'superheroes', 'force', 'action', 'save', 'world']"
Rumble Fish,0,1,1,1,0,0,0,0,0,"['absent', 'mind', 'street', 'thug', 'rusty', 'jam', 'struggle', 'live', 'legendary', 'older', 'brothers', 'reputation', 'long', 'days', 'gang', 'warfare']"
Appaloosa,0,1,1,0,1,0,0,0,0,"['friends', 'hire', 'police', 'small', 'town', 'suffer', 'rule', 'rancher', 'job', 'complicate', 'arrival', 'young', 'widow']"
A Thousand and One,0,1,1,0,0,0,0,0,0,"['unapologetic', 'fiercely', 'loyal', 'inez', 'kidnap', 'son', 'terry', 'foster', 'care', 'system', 'mother', 'son', 'set', 'reclaim', 'sense', 'home', 'identity', 'stability', 'rapidly', 'change', 'new', 'york', 'city']"
Clash of the Wolves,0,0,0,1,1,0,1,0,0,"['fire', 'mountains', 'drive', 'wolf', 'pack', 'nearby', 'desert', 'terrorize', 'local', 'residents']"
La mariée était en noir,0,1,1,0,0,0,0,0,1,"['julie', 'kohler', 'prevent', 'suicide', 'mother', 'leave', 'town', 'track', 'charm', 'kill', 'men', 'know', 'goal', 'purpose']"
The Newton Boys,0,1,1,0,1,0,0,0,0,"['story', 'newton', 'gang', 'successful', 'bank', 'robbers', 'history', 'owe', 'good', 'plan', 'minimal', 'violence']"
Palm Springs,1,0,0,0,0,0,0,1,1,"['stick', 'time', 'loop', 'wed', 'guests', 'develop', 'bud', 'romance', 'live', 'day']"
Star Trek: Nemesis,0,0,0,0,1,0,0,1,0,"['enterprise', 'divert', 'romulan', 'homeworld', 'romulus', 'supposedly', 'want', 'negotiate', 'peace', 'treaty', 'captain', 'picard', 'crew', 'discover', 'serious', 'threat', 'federation', 'praetor', 'shinzon', 'plan', 'attack', 'ea']"
A Delicate Balance: The Truth,0,0,0,0,0,1,0,0,0,"['documentary', 'leave', 'person', 'fully', 'inform', 'cause', 'illnesses', 'offer', 'ways', 'improve', 'human', 'health', 'documentary', 'predominantly', 'explore', 'effect', 'animal', 'protein', 'human', 'body']"
The Worst Person in the World,1,0,1,1,0,0,0,0,0,"['chronicle', 'years', 'life', 'julie', 'young', 'woman', 'navigate', 'trouble', 'water', 'love', 'life', 'struggle', 'career', 'path', 'lead', 'take', 'realistic', 'look', 'really']"
The Hating Game,1,0,0,1,0,0,0,0,0,"['resolve', 'achieve', 'professional', 'success', 'without', 'compromise', 'ethics', 'lucy', 'embark', 'ruthless', 'game', 'upmanship', 'cold', 'efficient', 'nemesis', 'joshua', 'rivalry', 'complicate', 'grow', 'attraction']"
A Soldier's Story,0,1,1,0,0,0,0,0,1,"['african', 'american', 'officer', 'investigate', 'murder', 'racially', 'charge', 'situation', 'world', 'war', 'ii']"
Shaft,1,1,0,0,1,0,0,0,0,"['jj', 'shaft', 'cyber', 'security', 'expert', 'degree', 'mit', 'enlist', 'familys', 'help', 'uncover', 'truth', 'behind', 'best', 'friends', 'untimely', 'death']"
How the Grinch Stole Christmas,1,0,0,0,0,0,1,1,0,"['outskirts', 'whoville', 'live', 'green', 'revenge', 'seek', 'grinch', 'plan', 'ruin', 'christmas', 'citizens', 'town']"
Criminals of the Air,0,1,1,0,1,0,0,0,0,"['undercover', 'agent', 'mark', 'owens', 'send', 'aid', 'border', 'patrol', 'trans', 'border', 'town', 'hernandez', 'break', 'well', 'organize', 'band', 'smugglers', 'since', 'town', 'note', 'place', 'obtain', 'quick', 'marriages']"
Zombie Nightmare,0,0,0,0,0,0,0,1,1,"['mother', 'resort', 'voodoo', 'get', 'back', 'kill', 'son']"
Mr. Blandings Builds His Dream House,1,0,0,1,0,0,0,0,0,"['man', 'wife', 'decide', 'afford', 'house', 'country', 'build', 'specifications', 'lot', 'trouble', 'think']"
Rise of the Guardians,0,0,0,0,1,0,1,0,0,"['evil', 'spirit', 'pitch', 'launch', 'assault', 'earth', 'immortal', 'guardians', 'team', 'protect', 'innocence', 'children', 'around', 'world']"
Asesinato en el senado de la nación,0,1,1,0,0,1,0,0,0,"['argentine', 'senator', 'lisandro', 'de', 'la', 'torre', 'investigate', 'case', 'corruption', 'export', 'meat', 'discover', 'fraudulent', 'plot', 'national', 'government', 'british', 'empire', 'endanger', 'life']"
In the Name of the Father,0,1,1,0,0,1,0,0,0,"['man', 'coerce', 'confession', 'r', 'bomb', 'commit', 'result', 'imprisonment', 'father', 'well', 'english', 'lawyer', 'fight', 'free']"
