Name,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Description Tokenized
Khubsoorat,1,0,1,0,0,0,1,0,0,"['strict', 'matriarch', 'regimented', 'household', 'upended', 'arrival', 'spunky', 'relative', 'challenge', 'rule', 'doctor', 'liberty', 'dance', 'card playing', 'discipline']"
Ladies Choice,0,0,0,0,0,0,0,0,1,"['male', 'exotic', 'entertainer', 'find', 'bind', 'taking', 'side', 'job', 'outside', 'normal', 'club', 'escalates', 'sex', 'lie', 'race', 'time', 'male nudity', 'male rear nudity', 'male stripper', 'sex scene', 'male butt crack']"
Klondike Fever,0,0,0,0,1,0,0,0,0,"['movie', 'chronicled', 'jack', 'london', 'epic', 'journey', 'san', 'francisco', 'klondike', 'gold', 'field', 'klondike', 'klondike gold rush', '1890s', '19th century', 'cancan dance']"
Le dernier métro,0,0,1,1,1,0,0,0,0,"['occupied', 'paris', 'actress', 'married', 'jewish', 'theater', 'owner', 'must', 'keep', 'hidden', 'nazi', 'job', 'jew', 'gestapo', 'hideout', 'world war two', 'french resistance']"
The Last Witness,0,0,0,0,0,1,0,0,1,"['ambitious', 'young', 'journalist', 'uncovers', 'horrific', 'slaughter', 'twenty', 'two', 'thousand', 'polish', 'officer', 'world', 'war', 'ii', 'secret', 'kept', 'hidden', 'far', 'many', 'year', 'voice over narration', 'the western post newspaper', 'polish hostel somerset england', 'soviet invasion of poland 1939', 'kiss']"
The Lady of Heaven,0,0,1,0,1,1,0,0,0,"['two', 'story', 'separated', 'year', 'losing', 'mother', 'midst', 'war', 'torn', 'country', 'iraqi', 'child', 'learns', 'importance', 'power', 'patience', 'discovering', 'historical', 'story', 'lady', 'fatima', 'suffering', 'islam', 'religion', 'iraq', 'shia', 'isi']"
The Life and Times of Rosie the Riveter,0,0,0,0,1,1,0,0,0,"['documentary', 'woman', 'working', 'factory', 'wwii', 'resultant', 'loss', 'job', 'war', 'five', 'woman', 'tell', 'story', 'fascinating', 'clip', 'racist', 'sexist', 'propaganda', 'era', 'national film registry', 'f rated', 'triple f rated', 'title directed by female', 'world war two']"
Little Miss Marker,1,0,1,1,0,0,0,0,0,"['gruff', 'bookie', 'life', 'turned', 'upside', 'get', 'year', 'old', 'kid', 'collateral', 'bet', 'gambling', '1930s', 'bookie', 'horse racing', 'bookmaker']"
Älskande par,0,0,1,1,0,0,0,0,0,"['three', 'expectant', 'mother', 'think', 'back', 'sex', 'life', ""man wears women's clothing"", 'timeframe 1910s', 'homosexual', 'baby', 'artist']"
The Man with Bogart's Face,1,1,0,0,0,0,0,0,1,"['contemporary', 'hollywood', 'private', 'investigator', 'sam', 'marlow', 'get', 'plastic', 'surgery', 'look', 'like', 'humphrey', 'bogart', 'solves', 'various', 'case', 'like', 'bogart', 'silver', 'screen', 'detective', 'character', 'private detective', 'secretary', 'reference to humphrey bogart', 'los angeles california', '1970s']"
Midnight Madness,1,0,0,0,0,0,0,0,0,"['leon', 'pick', 'college', 'student', 'participate', 'night', 'scavenger', 'hunt', 'five', 'team', 'receive', 'clue', 'solve', 'leading', 'next', 'clue', 'site', 'hidden', 'city', 'hare krishna', 'psychotronic film', 'motor vehicle', 'chevrolet', 'chevrolet motor vehicle']"
My Sex Doll Bodyguard,1,0,0,0,0,0,0,0,0,"['start', 'brick', 'receives', 'mysterious', 'package', 'inside', 'box', 'anna', 'sex', 'doll', 'ai', 'system', 'develop', 'human', 'brick', 'sleep', 'eager', 'anna', 'test', 'functionality', 'else', 'wil', ' ']"
The Mirror Crack'd,0,1,0,0,0,0,0,0,1,"['miss', 'jane', 'marple', 'come', 'solve', 'mystery', 'local', 'woman', 'poisoned', 'visiting', 'movie', 'star', 'seems', 'intended', 'victim', 'woman murders a woman', 'murderess', 'amateur sleuth', 'strong female lead', 'strong female character']"
Nightkill,0,1,0,0,0,0,0,0,1,"['woman', 'lover', 'poison', 'cruel', 'husband', 'rich', 'businessman', 'front', 'becomes', 'terrified', 'find', 'lover', 'dead', 'well', 'police', 'detective', 'suddenly', 'show', 'door', 'husband wife relationship', 'murdered in a shower', 'deception', 'marriage', 'arizona desert']"
"Pepi, Luci, Bom y otras chicas del montón",1,0,0,0,0,0,0,0,0,"['pepi', 'raped', 'policeman', 'catch', 'growing', 'marijuana', 'apartment', 'seek', 'revenge', 'getting', 'masochist', 'wife', 'leave', 'voyeurism', 'female nudity', 'vomiting', 'farce', 'hot']"
Permanent Vacation,1,0,1,0,0,0,0,0,0,"['outlandish', 'black', 'comedy', 'mild', 'mannered', 'eric', 'take', 'wife', 'child', 'belief', 'final', 'happy', 'holiday', 'kid', 'leave', 'nest', 'instead', 'thrust', 'world', 'sexual', 'decadence', 'headle', 'vacation gone wrong', 'dark comedy', 'immaculate conception', 'insatiable', 'vacation cabin']"
Out of the Blue,0,1,1,0,0,0,0,0,1,"['connor', 'man', 'whose', 'dull', 'life', 'transformed', 'thrilling', 'fantasy', 'world', 'thanks', 'seductive', 'marilyn', 'adulterous wife', 'unfaithful wife', 'cheating wife', 'sex scene', 'outdoor sex']"
Pilote,0,0,0,0,1,0,0,0,1,"['drone', 'pilot', 'mali', 'whose', 'wife', 'daughter', 'kidnapped', 'terrorist', 'executed', 'derail', 'capture', 'team', 'head', 'jihadist', 'network', ' ']"
Playing Minecraft for the first time in a decade,1,0,0,0,0,0,0,0,0,"['cybershell', 'stream', 'minecraft', ' ']"
Resurrection,0,1,1,0,0,0,0,0,1,"['margaret', 'life', 'order', 'capable', 'disciplined', 'successful', 'everything', 'control', 'david', 'return', 'carrying', 'horror', 'margaret', 'past', 'abusive relationship', 'teenage daughter', 'mental breakdown', 'stalker', 'extramarital affair']"
Nasvidenje v naslednji vojni,0,0,1,1,1,0,0,0,0,"['two', 'enemy', 'war', 'slovenian', 'partisan', 'berk', 'german', 'soldier', 'bitter', 'meet', 'holiday', 'spain', 'recalling', 'war', 'conversation', 'berk', 'remembers', 'anton', 'fellow', 'comrade', 'spend', 'time', 'sex scene', 'storytelling', 'nazi occupied slovenia', 'nazi occupied yugoslavia', 'former enemies']"
Saturn 3,0,0,0,0,1,0,0,1,1,"['two', 'lover', 'stationed', 'remote', 'base', 'asteroid', 'field', 'saturn', 'intruded', 'upon', 'retentive', 'technocrat', 'earth', 'charge', 'malevolent', 'eight', 'foot', 'robot', 'psychopath', 'infatuation', 'woman wears a towel', 'asteroid', 'robot sci fi']"
The Sea Wolves,0,0,0,0,1,1,0,0,0,"['world', 'war', 'ii', 'british', 'must', 'attack', 'german', 'ship', 'safe', 'neutral', 'goa', 'result', 'send', 'civilian', 'former', 'soldier', 'sixty', 'year', 'old', 'based on true story', 'stabbed to death', 'espionage', 'indian ocean', 'stabbing']"
The Shining,0,0,1,0,0,0,0,0,1,"['family', 'head', 'isolated', 'hotel', 'winter', 'sinister', 'presence', 'influence', 'father', 'violence', 'psychic', 'son', 'see', 'horrific', 'foreboding', 'past', 'future', 'haunted hotel', 'labyrinth', 'identical twins', 'hotel', 'typewriter']"
"Those Lips, Those Eyes",1,0,0,1,0,0,0,0,0,"['stagestruck', 'adolescent', 'learns', 'love', 'hard', 'way', 'interning', 'cleveland', 'summer', 'stock', 'early', 'sword', 'prop', 'year 1951', 'throwing a glass into a fireplace', 'feather']"
Faust: Love of the Damned,0,0,1,0,0,0,0,1,1,"['man', 'sell', 'soul', 'devil', 'gain', 'superpower', 'avenge', 'girlfriend', 'brutal', 'murder', 'realizes', 'price', 'soul', 'new', 'love', 'interest', 'turn', 'devil', 'incest', 'father daughter incest', 'breasts growing', 'female ejaculation', 'female rear nudity']"
Virus,0,0,0,0,0,0,0,1,1,"['experiment', 'gone', 'wrong', 'virus', 'turn', 'people', 'zombie', 'spread', 'throughout', 'new', 'guinea', 'female', 'reporter', 'cameraman', 'team', 'four', 'commando', 'sent', 'investigate', 'try', 'survive', 'onslaught', 'zombie', 'female nudity', 'papua new guinea', 'italian horror', 'zombie apocalypse']"
The Watcher in the Woods,0,0,0,0,0,0,1,0,1,"['family', 'move', 'country', 'home', 'young', 'girl', 'experience', 'strange', 'happening', 'link', 'occult', 'event', 'year', 'past', 'teenage girl', 'occult', 'female protagonist', 'haunted house', 'teenage girl as protagonist']"
Where the Buffalo Roam,1,0,0,0,0,1,0,0,0,"['semi', 'biographical', 'film', 'based', 'experience', 'gonzo', 'journalist', 'hunter', 'thompson', 'gonzo journalist', 'hotel room', 'super bowl', 'journalism', 'presidential election']"
"The man they called a young genius, master swordsmith Yoshikazu Yoshihara",0,0,0,0,0,1,0,0,0,"['age', 'yoshikazu', 'yoshihara', 'pronounced', 'youngest', 'receive', 'highest', 'level', 'swordsmith', 'mastery', 'known', 'blade', 'style', 'referred', 'kawazukochouji', 'fascinated', 'fan', 'throughout', 'world', 'docu', ' ']"
Cardiac Arrest,0,1,1,0,0,0,0,0,1,"['serial', 'killer', 'plaguing', 'san', 'francisco', 'surgically', 'removing', 'heart', 'victim', 'assigned', 'case', 'weak', 'stomached', 'homicide', 'detective', 'investigates', 'possibility', 'black', 'market', 'organ', 'transplant', 'heart transplant', 'slasher', 'murder', 'heart', 'serial killer']"
In Search of Historic Jesus,0,0,1,0,0,1,0,0,0,"['examination', 'historical', 'source', 'speculates', 'accuracy', 'biblical', 'depiction', 'jesus', 'reference to jesus christ', 'psychotronic film', 'biblical', 'crucifixion of jesus', 'reenactment']"
2001: A Space Odyssey,0,0,0,0,1,0,0,1,0,"['uncovering', 'mysterious', 'artifact', 'buried', 'beneath', 'lunar', 'surface', 'spacecraft', 'sent', 'jupiter', 'find', 'origin', 'spacecraft', 'manned', 'two', 'men', 'supercomputer', 'h', 'l', 'monolith', 'human versus computer', 'star child', 'famous line', 'computer']"
Defiance,0,0,0,0,1,0,0,0,0,"['boy', 'father', 'slain', 'town', 'powerful', 'man', 'willing', 'pay', 'due', 'devotes', 'life', 'avenging', 'father', 'death', 'father']"
The Nude Bomb,1,1,0,0,1,0,0,0,0,"['maxwell', 'smart', 'recalled', 'duty', 'help', 'fight', 'villian', 'threatens', 'detonate', 'weapon', 'destroys', 'clothing', 'campy', 'upskirt', 'psychotronic film', 'timeframe 1980s', 'nudity']"
Kenny Rogers as The Gambler,0,0,0,0,1,0,0,0,0,"['adventure', 'brady', 'hawkes', 'gambler', 'way', 'help', 'young', 'son', 'also', 'helping', 'another', 'gambler', 'learn', 'play', 'right', 'ends with freeze frame', 'gambler', 'gambling', 'train', 'father son relationship']"
The Hollywood Knights,1,0,0,0,0,0,0,0,0,"['led', 'comedic', 'leader', 'turk', 'hollywood', 'knight', 'car', 'club', 'raise', 'hell', 'throughout', 'beverly', 'hill', 'halloween', 'night', 'grindhouse film', 'cruising', 'cheerleader', 'fart joke', 'mooning']"
The Happy Hooker Goes Hollywood,1,0,0,0,0,0,0,0,0,"['prostitute', 'writes', 'bestseller', 'book', 'profession', 'attracts', 'attention', 'studio', 'executive', 'attempt', 'adapt', 'movie', 'falling', 'decides', 'make', 'film', 'despite', 'sabot', ""grauman's chinese theatre los angeles"", 'sex comedy', 'brown derby restaurant', 'variety the newspaper', 'scantily clad female']"
Animalympics,1,0,0,0,0,0,1,0,0,"['animal', 'kingdom', 'stage', 'olympic', 'game', 'anthropomorphic animal', 'cleavage', 'anthropomorphism', '1980s', 'full moon']"
Middle Age Crazy,1,0,1,0,0,0,0,0,0,"['married', 'man', 'turning', 'forty', 'midlife', 'crisis', 'hit', 'becomes', 'obsessed', 'young', 'woman', 'fast', 'car', 'midlife crisis', 'teenage girl', 'unfaithfulness', 'infidelity', 'sex']"
The Kidnapping of the President,0,0,0,0,0,0,0,0,1,"['based', 'novel', 'charles', 'templeton', 'secret', 'service', 'chief', 'lead', 'game', 'cat', 'mouse', 'gang', 'third', 'world', 'terrorist', 'kidnap', 'president', 'psychotronic film', 'the white house washington d.c.', 'cult', 'cia central intelligence agency', 'president']"
Phobia,0,0,1,0,0,0,0,0,1,"['agoraphobic', 'young', 'woman', 'traumatized', 'past', 'event', 'find', 'trapped', 'terrorized', 'home', 'psychotronic film']"
The Octagon,0,0,1,1,1,0,0,0,0,"['martial', 'artist', 'must', 'defeat', 'plan', 'ninja', 'create', 'worldwide', 'training', 'camp', 'terrorist', 'ninja', 'ninja costume', 'sex in bed', 'crime ring', 'brother brother relationship']"
Poliziotto superpiù,1,0,0,0,1,0,0,1,0,"['red', 'powder', 'nuclear', 'explosion', 'give', 'police', 'officer', 'super', 'power', 'long', 'see', 'anything', 'red', 'eventually', 'framed', 'murder', 'unsuccessfully', 'executed', 'many', 'different', 'method', 'superhero', 'supernatural power', 'spoof', 'nuclear explosion', 'police protagonist']"
Coast to Coast,1,0,1,1,0,0,0,0,0,"['wealthy', 'neurotic', 'woman', 'escape', 'new', 'york', 'mental', 'asylum', 'hitch', 'ride', 'back', 'california', 'moody', 'luck', 'cowboy', 'trucker', 'fall', 'love', 'run', 'bounty', 'hunter', 'repo', 'manhunt', 'hixploitation', 'truck', 'escape', 'runaway']"
Song of the South: Duane Allman and the Birth of the Allman Brothers Band,0,0,0,0,0,1,0,0,0,"['duane', 'allman', 'lead', 'guitarist', 'driving', 'force', 'behind', 'southern', 'rock', 'pioneer', 'allman', 'brother', 'band', 'lived', 'tragically', 'short', 'life', 'brief', 'career', 'changed', 'music', 'forever', ' ']"
The Apple Dumpling Gang,1,0,0,0,1,0,1,0,0,"['three', 'orphan', 'child', 'strike', 'gold', 'california', 'bigfoot character', 'blockbuster', 'fruit in title', 'four word title', 'first part']"
You Better Watch Out,0,0,0,0,0,0,0,0,1,"['toy', 'factory', 'worker', 'mentally', 'scarred', 'child', 'upon', 'learning', 'santa', 'claus', 'real', 'suffers', 'nervous', 'breakdown', 'belittled', 'work', 'embarks', 'yuletide', 'killing', 'spree', 'serial killer as protagonist', 'antagonist as protagonist', 'lift skirt', 'child', 'murder spree']"
