Name,Date Published,Description,Rating,Rating Count,Content Rating,Keywords,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Description Tokenized
Moskva slezam ne verit,1982-04-15,"Three young provincial women come to Moscow in search of what people in all the capitals of the world are looking for - love, happiness and prosperity. Their destinies develop exactly as the character of each of the girls suggests.",8.1,13500.0,PG,"['city name in title', 'group of friends', 'soviet union history', 'single mother', 'male female relationship']",1,0,1,1,0,0,0,0,0,"['young', 'provincial', 'women', 'come', 'moscow', 'search', 'people', 'capitals', 'world', 'look', 'love', 'happiness', 'prosperity', 'destinies', 'develop', 'exactly', 'character', 'girls', 'suggest']"
The Stunt Man,1982-03-26,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",7.0,9993.0,R,"['on the run', 'stuntman', 'brothel', 'female rear nudity', 'cleavage']",1,0,1,0,1,0,0,0,0,"['fugitive', 'stumble', 'onto', 'movie', 'set', 'need', 'new', 'stunt', 'man', 'take', 'job', 'way', 'hide', 'fall', 'lead', 'lady', 'face', 'manipulative', 'director']"
Melvin and Howard,1980-09-19,"The story of hard-luck Melvin E. Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes.",6.8,5062.0,R,"['character names as title', 'howard hughes character', 'woman wears a g string', 'forenames as title', 'melvin dummar character']",1,0,1,0,0,0,0,0,0,"['story', 'hard', 'luck', 'melvin', 'e', 'dummar', 'claim', 'receive', 'name', 'heir', 'fortune', 'howard', 'hughes']"
Alligator,1981-09-17,"A pet baby alligator is flushed down a toilet and survives in the city sewers. Twelve years later, it grows to an enormous size thanks to a diet of discarded laboratory dogs injected with growth hormones. Now, humans have entered ...",6.1,14238.0,R,"['alligator', 'sewer', 'giant animal', 'toilet', 'baby alligator']",0,0,0,0,0,0,0,1,1,"['pet', 'baby', 'alligator', 'flush', 'toilet', 'survive', 'city', 'sewers', 'twelve', 'years', 'later', 'grow', 'enormous', 'size', 'thank', 'diet', 'discard', 'laboratory', 'dog', 'inject', 'growth', 'hormones', 'humans', 'enter']"
Altered States of Plaine,2014-05-02,A young man on the run from a mysterious government agency is desperate to find the cure for a condition that causes him to wake up at random places around the world when he falls asleep.,5.6,209.0,,"['forced drug use', 'child in jeopardy', 'new york city', 'imagination', 'pay phone']",0,0,1,0,0,0,0,1,1,"['young', 'man', 'run', 'mysterious', 'government', 'agency', 'desperate', 'cure', 'condition', 'cause', 'wake', 'random', 'place', 'around', 'world', 'fall', 'asleep']"
American Gigolo,1980-09-12,"A Los Angeles male escort, who mostly caters to an older female clientèle, is accused of a murder which he did not commit.",6.3,27552.0,M/16,"['murder', ""politician's wife"", 'male prostitute', 'male prostitution', 'neo noir']",0,1,1,0,0,0,0,0,1,"['los', 'angeles', 'male', 'escort', 'mostly', 'cater', 'older', 'female', 'clientele', 'accuse', 'murder', 'commit']"
Atlantic City,1981-11-05,"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.",7.3,17471.0,R,"['casino', 'drugs', 'gangster', 'mobster', 'sister sister relationship']",0,1,1,1,0,0,0,0,0,"['corrupt', 'city', 'small', 'time', 'gangster', 'estrange', 'wife', 'pot', 'dealer', 'throw', 'together', 'escapade', 'love', 'money', 'drug', 'danger']"
Babylon,2023-01-19,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",7.2,104781.0,M/16,"['hollywood california', '1920s', 'film history', 'hedonism', 'female female kiss']",1,0,1,0,0,1,0,0,0,"['tale', 'outsized', 'ambition', 'outrageous', 'excess', 'trace', 'rise', 'fall', 'multiple', 'character', 'era', 'unbridle', 'decadence', 'depravity', 'early', 'hollywood']"
Battle Creek Brawl,1982-03-25,A young Asian-American martial artist is forced to participate in a brutal formal street-fighting competition.,5.7,5558.0,R,"['street fight', 'mixed martial arts', 'martial arts tournament', 'ends with freeze frame', 'timeframe 1930s']",1,1,0,0,1,0,0,0,0,"['young', 'asian', 'american', 'martial', 'artist', 'force', 'participate', 'brutal', 'formal', 'street', 'fight', 'competition']"
The Blood of Hussain,,"A dramatic depiction of the life of Hussain, with allegorical references to the history of the Prophet Muhammad and his descendants. It is prophesied that Young Hussain will one day lead the impoverished masses to a better life. I...",6.8,142.0,,"['history repeats itself', 'husband wife relationship', 'pregnancy', 'rape', 'military']",0,0,1,0,0,0,0,0,0,"['dramatic', 'depiction', 'life', 'hussain', 'allegorical', 'reference', 'history', 'prophet', 'muhammad', 'descendants', 'prophesy', 'young', 'hussain', 'day', 'lead', 'impoverish', 'mass', 'better', 'life']"
Caboblanco,1980-02-28,"In 1948, an assortment of shady characters are searching for Nazi loot, sunken off the coast of Peru.",5.4,1237.0,R,"['female nudity', 'female rear nudity', 'female full frontal nudity', 'female pubic hair', 'prostitute']",0,1,0,0,1,0,0,0,0,"['assortment', 'shady', 'character', 'search', 'nazi', 'loot', 'sink', 'coast', 'peru']"
Can't Stop the Music,1980-10-23,A pseudo autobiography of disco's The Village People.,4.2,4251.0,PG,"['male full frontal nudity', 'disco', 'swimming pool', 'tax lawyer', 'dancer']",1,0,0,0,0,1,0,0,0,"['pseudo', 'autobiography', 'disco', 'village', 'people']"
Chann Pardesee,1981-07-10,"Nek gets married to the girl of his dreams, Kammo, and has a son. Later, he finds out that the child isn't his but Joginder's, who had raped Kammo.",8.5,86.0,,[' '],0,0,1,0,0,0,0,0,0,"['nek', 'get', 'marry', 'girl', 'dream', 'kammo', 'son', 'later', 'child', 'isnt', 'joginders', 'rap', 'kammo']"
La città delle donne,1981-05-15,A businessman finds himself trapped at a hotel and threatened by women en masse.,6.9,7707.0,R,"['female nudity', 'train', 'adult humor', 'nudity', 'surrealism']",1,0,1,0,0,0,0,1,0,"['businessman', 'trap', 'hotel', 'threaten', 'women', 'en', 'masse']"
The Last Days of American Crime,2020-06-05,"In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.",3.8,11940.0,TV-MA,"['distant future', 'heist', 'bank robber', 'image comics', 'based on comic']",0,1,1,0,1,0,0,0,0,"['distant', 'future', 'final', 'response', 'terrorism', 'crime', 'u', 'government', 'plan', 'broadcast', 'signal', 'make', 'impossible', 'anyone', 'knowingly', 'commit', 'unlawful', 'act']"
Cruising,1981-02-12,A police detective goes undercover in the underground S&M gay subculture of New York City to catch a serial killer who is preying on gay men.,6.5,25301.0,M/18,"['gay', 'cruising', 'leather bar', 'stabbed to death', 'homo']",0,1,1,0,0,0,0,0,1,"['police', 'detective', 'go', 'undercover', 'underground', 'gay', 'subculture', 'new', 'york', 'city', 'catch', 'serial', 'killer', 'prey', 'gay', 'men']"
La mort en direct,1980-03-20,"In a future where dying of illness is exceedingly rare, a terminally ill woman becomes a celebrity and a man with camera implants goes to secretly record her for a morbid TV show.",6.6,3245.0,R,"['reality tv production', 'remarriage', 'fictional reality show', 'near future', '1980s']",0,0,1,0,0,0,0,1,1,"['future', 'die', 'illness', 'exceedingly', 'rare', 'terminally', 'ill', 'woman', 'become', 'celebrity', 'man', 'camera', 'implant', 'go', 'secretly', 'record', 'morbid', 'tv', 'show']"
Dadar Kirti,1980-11-28,"Advocate Nivaran Chatterjee lives a wealthy lifestyle in a small town along with his wife, and three sons. His first son is married, while his second son, Kedarnath, who suffered a head injury, is a little senile, and his third so...",7.9,227.0,,[' '],1,0,1,0,0,0,0,0,0,"['advocate', 'nivaran', 'chatterjee', 'live', 'wealthy', 'lifestyle', 'small', 'town', 'along', 'wife', 'sons', 'first', 'son', 'marry', 'second', 'son', 'kedarnath', 'suffer', 'head', 'injury', 'little', 'senile', 'third']"
Delusion,1991-06-07,A man who has just embezzled money from his company is driving through the Nevada desert. He picks up a pretty girl and her seemingly goofy boyfriend. The girl is a Las Vegas showgirl and the boyfriend turns out to be a profession...,6.0,723.0,R,"['boyfriend girlfriend relationship', 'professional murderer', 'las vegas nevada', 'showgirl', 'money']",0,1,1,0,0,0,0,0,1,"['man', 'embezzle', 'money', 'company', 'drive', 'nevada', 'desert', 'pick', 'pretty', 'girl', 'seemingly', 'goofy', 'boyfriend', 'girl', 'las', 'vegas', 'showgirl', 'boyfriend', 'turn', 'profession']"
The Dogs of War or That's What Friends Are For,2017-01-02,A live staged film compilation about gang warfare and romantic intrigue in a mysterious reality which unfolds with continuously evolving waves of rhyme in rap poetry.,,,,"['compilation', 'or as title separator']",1,0,1,0,0,0,0,0,0,"['live', 'stag', 'film', 'compilation', 'gang', 'warfare', 'romantic', 'intrigue', 'mysterious', 'reality', 'unfold', 'continuously', 'evolve', 'wave', 'rhyme', 'rap', 'poetry']"
The Visit,2015-09-10,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,6.2,140306.0,M/14,"['handheld camera', 'mockumentary', 'farm', 'skype', 'grandmother granddaughter relationship']",0,0,0,0,0,0,0,0,1,"['siblings', 'become', 'increasingly', 'frighten', 'grandparents', 'disturb', 'behavior', 'visit', 'vacation']"
Dressed to Kill,1941-08-08,Detective Michael Shayne and his girlfriend Joanne are on their way to be married when a scream from a nearby hotel room draws his attention to a pair of theatrical murders.,6.4,1139.0,Passed,['violence'],0,1,0,0,0,0,0,0,1,"['detective', 'michael', 'shayne', 'girlfriend', 'joanne', 'way', 'marry', 'scream', 'nearby', 'hotel', 'room', 'draw', 'attention', 'pair', 'theatrical', 'murder']"
The Falls,,The Falls is a feature film about two missionaries that fall in love while on their mission.,6.7,2638.0,Not Rated,"['missionary', 'oregon', 'gay mormon', 'mormon missionary', 'gay interest']",0,0,1,1,0,0,0,0,0,"['fall', 'feature', 'film', 'missionaries', 'fall', 'love', 'mission']"
Fatso,1980-02-01,"An overweight bachelor is fat, 40 and fed up--to the gills--but when his obese cousin Sal dies at 39, he must finally come to terms with his own weight problem.",6.2,2270.0,PG,"['fat shaming', 'actor director', 'actor writer', 'director writer', 'open casket']",1,0,1,1,0,0,0,0,0,"['overweight', 'bachelor', 'fat', 'feed', 'gills', 'obese', 'cousin', 'sal', 'die', 'must', 'finally', 'come', 'term', 'weight', 'problem']"
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2004-03-05,"The story of America as seen through the eyes of the former Secretary of Defense under President John F. Kennedy and President Lyndon B. Johnson, Robert McNamara.",8.1,24323.0,PG-13,"['secretary of defense', 'interview', 'vietnam', 'cold war', 'political superpower']",0,0,0,0,0,1,0,0,0,"['story', 'america', 'see', 'eye', 'former', 'secretary', 'defense', 'president', 'john', 'f', 'kennedy', 'president', 'lyndon', 'b', 'johnson', 'robert', 'mcnamara']"
Flash Gordon,1981-04-02,A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,6.5,58593.0,PG,"['girl from outer space', 'mind reading', 'cult film', 'apocalypse', 'torture']",0,0,0,0,1,0,0,1,0,"['football', 'player', 'friends', 'travel', 'planet', 'mongo', 'fight', 'tyranny', 'ming', 'merciless', 'save', 'earth']"
Foolin' Around,1980-12-19,"A working-class boy falls for a girl from a wealthy family, and must compete for her with a rich boy who also wants her.",6.0,505.0,PG,"['scene during opening credits', 'title song', 'wealth', 'rich family', 'male female relationship']",1,0,0,1,0,0,0,0,0,"['work', 'class', 'boy', 'fall', 'girl', 'wealthy', 'family', 'must', 'compete', 'rich', 'boy', 'want']"
Friday the 13th,1981-03-13,"A group of camp counselors trying to reopen a summer camp called Crystal Lake, which has a grim past, are stalked by a mysterious killer.",6.4,145249.0,M/18,"['summer', 'serial killer', 'summer camp', 'slasher', 'first of series']",0,0,0,0,0,0,0,0,1,"['group', 'camp', 'counselors', 'try', 'reopen', 'summer', 'camp', 'call', 'crystal', 'lake', 'grim', 'past', 'stalk', 'mysterious', 'killer']"
Deutschland bleiche Mutter,1980-09-26,"Germany 1939. Hans and Lene marry the day before the war breaks out, and Hans is sent to the Eastern front. During a bombing raid their daughter Anna is born. The house is destroyed and Lene and Anna moves in with relatives in Ber...",7.2,802.0,,"['motherhood', 'rubble', 'post world war two', 'drunkenness', 'post world war two germany']",0,0,1,0,1,1,0,0,0,"['germany', 'hans', 'lene', 'marry', 'day', 'war', 'break', 'hans', 'send', 'eastern', 'front', 'bomb', 'raid', 'daughter', 'anna', 'bear', 'house', 'destroy', 'lene', 'anna', 'move', 'relatives', 'ber']"
Uchu kaijû Gamera,1980-03-20,"Using several clips from previous Gamera entries, this film deals with alien forces sending all the monsters Gamera has faced in one final battle to rid the planet of its last hope.",3.6,966.0,Not Rated,"['psychotronic film', 'gamera', 'alien', 'evil', 'lizard']",0,0,0,0,1,0,1,1,0,"['use', 'several', 'clip', 'previous', 'gamera', 'entries', 'film', 'deal', 'alien', 'force', 'send', 'monsters', 'gamera', 'face', 'final', 'battle', 'rid', 'planet', 'last', 'hope']"
Gloria,1999-01-22,"After serving three years in prison covering for her gangster boyfriend, Kevin, Gloria returns to New York City for the money she was promised. Inside Kevin's base of operations, she finds 7 year old Nicky, whose family has been k...",5.1,6011.0,M/12,"['character name as title', 'forename as title', '7 year old boy', 'watching tv', 'watching a cartoon on tv']",0,1,1,0,0,0,0,0,1,"['serve', 'years', 'prison', 'cover', 'gangster', 'boyfriend', 'kevin', 'gloria', 'return', 'new', 'york', 'city', 'money', 'promise', 'inside', 'kevins', 'base', 'operations', 'year', 'old', 'nicky', 'whose', 'family', 'k']"
Hangar 18,1982-02-04,"After a UFO crashes in Arizona, due to a space collision with a NASA satellite launch, the U.S. government tries to cover-up the incident for political reasons.",5.3,2811.0,PG,"['nasa', 'space sci fi', 'arizona desert', 'desert', 'arizona']",0,0,0,0,0,0,0,1,0,"['ufo', 'crash', 'arizona', 'due', 'space', 'collision', 'nasa', 'satellite', 'launch', 'u', 'government', 'try', 'cover', 'incident', 'political', 'reason']"
Hero at Large,1980-10-10,"A struggling actor buying milk stops a robbery while wearing a superhero uniform, promoting a movie. The unknown hero decides to try again. Can he impress his cute neighbor?",5.9,1695.0,PG,"['bare chested male', 'hairy chest', 'non comic book superhero', 'injury', 'gun']",1,0,0,1,0,0,0,0,0,"['struggle', 'actor', 'buy', 'milk', 'stop', 'robbery', 'wear', 'superhero', 'uniform', 'promote', 'movie', 'unknown', 'hero', 'decide', 'try', 'impress', 'cute', 'neighbor']"
Heart Beat,1980-12-25,"The life and friendship between the icons of the Beat Generation - Neal Cassady, Carolyn Cassady and Jack Kerouac.",5.7,710.0,R,"['beatnik', 'marijuana', 'red wine', 'suburbia', 'cigar smoking']",0,0,1,0,0,0,0,0,0,"['life', 'friendship', 'icons', 'beat', 'generation', 'neal', 'cassady', 'carolyn', 'cassady', 'jack', 'kerouac']"
Heerak Rajar Deshe,1980-12-19,The musical duo of Goopi and Bagha make a comeback when they are invited to play for a king.,8.9,2871.0,Not Rated,"['kingdom', 'king', 'musician', 'scientist', 'diamond']",1,0,1,0,0,0,1,0,0,"['musical', 'duo', 'goopi', 'bagha', 'make', 'comeback', 'invite', 'play', 'king']"
He Knows You're Alone,1982-08-06,"A young bride-to-be is being stalked upon by a serial killer in Staten Island. She gets help from a former lover, but will they manage to escape?",5.0,3926.0,R,"['serial killer', 'slasher', 'low budget film', 'man murders a woman', 'stabbing a woman']",0,0,0,0,0,0,0,0,1,"['young', 'bride', 'stalk', 'upon', 'serial', 'killer', 'staten', 'island', 'get', 'help', 'former', 'lover', 'manage', 'escape']"
The Hit,1984-09-07,"Ten years after ratting on his old mobster friends in exchange for personal immunity, two hit men drive a hardened criminal to Paris for his execution. However, while on the way, whatever can go wrong, does go wrong.",7.0,8791.0,R,"['road movie', 'neo noir', 'mortality', 'revenge', 'trial']",0,1,1,0,0,0,0,0,1,"['years', 'rat', 'old', 'mobster', 'friends', 'exchange', 'personal', 'immunity', 'hit', 'men', 'drive', 'harden', 'criminal', 'paris', 'execution', 'way', 'whatever', 'go', 'wrong', 'go', 'wrong']"
Humanoids from the Deep,1980-08-28,"Humanoid sea creatures start killing a fishing town's residents, and raping their women. It's up to the townsfolk and a visiting biologist to fight back and fend them off.",5.7,9717.0,R,"['title directed by female', 'female nudity', 'rape', 'fishing village', 'bigot']",0,0,0,0,0,0,0,1,1,"['humanoid', 'sea', 'creatures', 'start', 'kill', 'fish', 'towns', 'residents', 'rap', 'women', 'townsfolk', 'visit', 'biologist', 'fight', 'back', 'fend']"
Inferno,2016-10-13,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.",6.2,180908.0,M/12,"['amnesia', 'church', 'museum', 'police', 'virus']",0,1,0,0,1,0,0,0,0,"['robert', 'langdon', 'wake', 'italian', 'hospital', 'amnesia', 'team', 'dr', 'sienna', 'brook', 'race', 'europe', 'together', 'clock', 'foil', 'deadly', 'global', 'plot']"
It's My Turn,1981-03-21,"A successful but stressed mathematics professor goes to her father's wedding and falls in love with her father's bride's son, a prematurely retired pro baseball player. She must choose between him and her current boyfriend, betwee...",5.5,1064.0,R,"['title directed by female', 'title written by female', 'female director', 'female filmmaker', 'wedding']",1,0,1,0,0,0,0,0,0,"['successful', 'stress', 'mathematics', 'professor', 'go', 'father', 'wed', 'fall', 'love', 'father', 'brides', 'son', 'prematurely', 'retire', 'pro', 'baseball', 'player', 'must', 'choose', 'current', 'boyfriend', 'betwee']"
Karz,1980-06-11,Ravi is killed by his wife after his marriage. He is reborn as Monty and is now a singer he goes to holiday in Ooty where he recollects his memories from previous life and inquires about his family from first life and his evil wif...,7.4,2366.0,Not Rated,"['estate', 'singer', 'wig', 'villainess', 'vengeance']",0,0,0,1,1,0,0,0,0,"['ravi', 'kill', 'wife', 'marriage', 'reborn', 'monty', 'singer', 'go', 'holiday', 'ooty', 'recollect', 'memories', 'previous', 'life', 'inquire', 'family', 'first', 'life', 'evil', 'wif']"
Khubsoorat,1980-01-25,A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.,7.6,1801.0,Not Rated,"['doctor', 'liberty', 'dance', 'card playing', 'discipline']",1,0,1,0,0,0,1,0,0,"['strict', 'matriarchs', 'regiment', 'household', 'upend', 'arrival', 'spunky', 'relative', 'challenge', 'rule']"
Ladies Choice,2022-07-12,"Male exotic entertainers find themselves in a bind after taking on a side job outside of their normal club which escalates into sex, lies, and a race against time.",7.0,11.0,,"['male nudity', 'male rear nudity', 'male stripper', 'sex scene', 'male butt crack']",0,0,0,0,0,0,0,0,1,"['male', 'exotic', 'entertainers', 'bind', 'take', 'side', 'job', 'outside', 'normal', 'club', 'escalate', 'sex', 'lie', 'race', 'time']"
Klondike Fever,1980-03-02,This movie chronicled Jack London's epic journey from San Francisco to the Klondike gold fields in 1898.,5.4,202.0,PG,"['klondike', 'klondike gold rush', '1890s', '19th century', 'cancan dance']",0,0,0,0,1,0,0,0,0,"['movie', 'chronicle', 'jack', 'londons', 'epic', 'journey', 'san', 'francisco', 'klondike', 'gold', 'field']"
Le dernier métro,1981-02-24,"In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Nazis while doing both of their jobs.",7.4,14862.0,M/12,"['jew', 'gestapo', 'hideout', 'world war two', 'french resistance']",0,0,1,1,1,0,0,0,0,"['occupy', 'paris', 'actress', 'marry', 'jewish', 'theater', 'owner', 'must', 'keep', 'hide', 'nazis', 'job']"
The Last Witness,2018-05-11,An ambitious young journalist uncovers the horrific slaughter of twenty-two thousand Polish officers during World War II. A secret that has been kept hidden for far too many years.,5.6,1940.0,Not Rated,"['voice over narration', 'the western post newspaper', 'polish hostel somerset england', 'soviet invasion of poland 1939', 'kiss']",0,0,0,0,0,1,0,0,1,"['ambitious', 'young', 'journalist', 'uncover', 'horrific', 'slaughter', 'twenty', 'thousand', 'polish', 'officer', 'world', 'war', 'ii', 'secret', 'keep', 'hide', 'far', 'many', 'years']"
The Lady of Heaven,2022-06-03,"Two stories separated by 1400 years. After losing his mother in the midst of a war-torn country, an Iraqi child, learns the importance and power of patience by discovering the historical story of Lady Fatima and her suffering.",5.8,13984.0,R,"['islam', 'religion', 'iraq', 'shia', 'isis']",0,0,1,0,1,1,0,0,0,"['stories', 'separate', 'years', 'lose', 'mother', 'midst', 'war', 'tear', 'country', 'iraqi', 'child', 'learn', 'importance', 'power', 'patience', 'discover', 'historical', 'story', 'lady', 'fatima', 'suffer']"
The Life and Times of Rosie the Riveter,1981-10-15,"Documentary about women working in factories during WWII and resultant loss of jobs after the war. Five women tell their stories. Fascinating clips of racist, sexist propaganda of the era.",7.2,324.0,,"['national film registry', 'f rated', 'triple f rated', 'title directed by female', 'world war two']",0,0,0,0,1,1,0,0,0,"['documentary', 'women', 'work', 'factories', 'wwii', 'resultant', 'loss', 'job', 'war', 'women', 'tell', 'stories', 'fascinate', 'clip', 'racist', 'sexist', 'propaganda', 'era']"
Little Miss Marker,1981-12-18,A gruff bookie's life is turned upside-down when he gets a 6-year-old kid as collateral for a bet.,6.3,1615.0,M/12,"['gambling', '1930s', 'bookie', 'horse racing', 'bookmaker']",1,0,1,1,0,0,0,0,0,"['gruff', 'bookies', 'life', 'turn', 'upside', 'get', 'year', 'old', 'kid', 'collateral', 'bet']"
The Magician of Lublin,1982-03-19,"Yasha is a Jewish stage magician who tours through eastern Europe while destroying his career through personal problems. He has one more chance at theatrical success, but he needs to do a brand new trick in a Warsaw theater.",5.8,167.0,R,"['female full frontal nudity', 'female frontal nudity', 'female nudity', 'female rear nudity', 'stage magician']",0,0,1,0,0,0,0,0,0,"['yasha', 'jewish', 'stage', 'magician', 'tour', 'eastern', 'europe', 'destroy', 'career', 'personal', 'problems', 'chance', 'theatrical', 'success', 'need', 'brand', 'new', 'trick', 'warsaw', 'theater']"
Älskande par,1964-12-21,Three expectant mothers think back over their sex lives.,6.6,702.0,M/16,"[""man wears women's clothing"", 'timeframe 1910s', 'homosexual', 'baby', 'artist']",0,0,1,1,0,0,0,0,0,"['expectant', 'mother', 'think', 'back', 'sex', 'live']"
City After Dark,1980-11-28,The hidden nightlife of ordinary people living in Manila unveils. Lovers and families' conflicts are radically pitted against each other as they live in the night streets rampant with drugs and prostitution. The outstanding narrat...,7.1,219.0,TV-MA,"['prostitution', 'manila philippines', 'lesbian', 'high school student', 'alcoholism']",0,0,1,0,0,0,0,0,0,"['hide', 'nightlife', 'ordinary', 'people', 'live', 'manila', 'unveil', 'lovers', 'families', 'conflict', 'radically', 'pit', 'live', 'night', 'streets', 'rampant', 'drug', 'prostitution', 'outstanding', 'narrat']"
